,co_name,symbol,market,asset,co_business,cc,amplitude,pe_s_d,co_intro,exchange,mv,pb_d,ps_d,equity,industry
0,安徽凤凰,920000,北交所,-,-,-,-,-,-,BJ,-,-,-,-,汽车配件
1,纬达光电,920001,北交所,-,-,-,-,-,-,BJ,-,-,-,-,元器件
2,万达轴承,920002,北交所,-,-,-,-,-,-,BJ,-,-,-,-,工程机械
3,中诚咨询,920003,北交所,-,-,-,-,-,-,BJ,-,-,-,-,建筑工程
4,鼎佳精密,920005,北交所,-,-,-,-,-,-,BJ,-,-,-,-,元器件
5,晟楠科技,920006,北交所,-,-,-,-,-,-,BJ,-,-,-,-,航空
6,酉立智能,920007,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
7,成电光信,920008,北交所,-,-,-,-,-,-,BJ,-,-,-,-,通信设备
8,丹娜生物,920009,北交所,-,-,-,-,-,-,BJ,-,-,-,-,医疗保健
9,凯添燃气,920010,北交所,-,-,-,-,-,-,BJ,-,-,-,-,供气供热
10,特瑞斯,920014,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
11,锦华新材,920015,北交所,-,-,-,-,-,-,BJ,-,-,-,-,化工原料
12,中草香料,920016,北交所,-,-,-,-,-,-,BJ,-,-,-,-,日用化工
13,星昊医药,920017,北交所,-,-,-,-,-,-,BJ,-,-,-,-,化学制药
14,宏远股份,920018,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
15,铜冠矿建,920019,北交所,-,-,-,-,-,-,BJ,-,-,-,-,建筑工程
16,泰凯英,920020,北交所,-,-,-,-,-,-,BJ,-,-,-,-,汽车配件
17,流金科技,920021,北交所,-,-,-,-,-,-,BJ,-,-,-,-,影视音像
18,世昌股份,920022,北交所,-,-,-,-,-,-,BJ,-,-,-,-,汽车配件
19,田野股份,920023,北交所,-,-,-,-,-,-,BJ,-,-,-,-,食品
20,卓兆点胶,920026,北交所,-,-,-,-,-,-,BJ,-,-,-,-,机械基件
21,交大铁发,920027,北交所,-,-,-,-,-,-,BJ,-,-,-,-,运输设备
22,开发科技,920029,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电器仪表
23,德众汽车,920030,北交所,-,-,-,-,-,-,BJ,-,-,-,-,汽车服务
24,康普化学,920033,北交所,-,-,-,-,-,-,BJ,-,-,-,-,化工原料
25,精创电气,920035,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
26,觅睿科技,920036,北交所,-,-,-,-,-,-,BJ,-,-,-,-,IT设备
27,广信科技,920037,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
28,国义招标,920039,北交所,-,-,-,-,-,-,BJ,-,-,-,-,建筑工程
29,蘅东光,920045,北交所,-,-,-,-,-,-,BJ,-,-,-,-,通信设备
30,亿能电力,920046,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
31,诺思兰德,920047,北交所,-,-,-,-,-,-,BJ,-,-,-,-,生物制药
32,爱舍伦,920050,北交所,-,-,-,-,-,-,BJ,-,-,-,-,医疗保健
33,能之光,920056,北交所,-,-,-,-,-,-,BJ,-,-,-,-,塑料
34,百甲科技,920057,北交所,-,-,-,-,-,-,BJ,-,-,-,-,钢加工
35,华洋赛车,920058,北交所,-,-,-,-,-,-,BJ,-,-,-,-,摩托车
36,万源通,920060,北交所,-,-,-,-,-,-,BJ,-,-,-,-,元器件
37,西磁科技,920061,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
38,科润智控,920062,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
39,科拜尔,920066,北交所,-,-,-,-,-,-,BJ,-,-,-,-,塑料
40,天工股份,920068,北交所,-,-,-,-,-,-,BJ,-,-,-,-,小金属
41,柏星龙,920075,北交所,-,-,-,-,-,-,BJ,-,-,-,-,广告包装
42,国亮新材,920076,北交所,-,-,-,-,-,-,BJ,-,-,-,-,其他建材
43,吉林碳谷,920077,北交所,-,-,-,-,-,-,BJ,-,-,-,-,化纤
44,奥美森,920080,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
45,方正阀门,920082,北交所,-,-,-,-,-,-,BJ,-,-,-,-,机械基件
46,科马材料,920086,北交所,-,-,-,-,-,-,BJ,-,-,-,-,汽车配件
47,秋乐种业,920087,北交所,-,-,-,-,-,-,BJ,-,-,-,-,种植业
48,科力股份,920088,北交所,-,-,-,-,-,-,BJ,-,-,-,-,石油开采
49,禾昌聚合,920089,北交所,-,-,-,-,-,-,BJ,-,-,-,-,塑料
50,同辉信息,920090,北交所,-,-,-,-,-,-,BJ,-,-,-,-,IT设备
51,大鹏工业,920091,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
52,汉鑫科技,920092,北交所,-,-,-,-,-,-,BJ,-,-,-,-,软件服务
53,科隆新材,920098,北交所,-,-,-,-,-,-,BJ,-,-,-,-,橡胶
54,瑞华技术,920099,北交所,-,-,-,-,-,-,BJ,-,-,-,-,石油加工
55,三协电机,920100,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
56,志高机械,920101,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
57,林泰新材,920106,北交所,-,-,-,-,-,-,BJ,-,-,-,-,汽车配件
58,宏海科技,920108,北交所,-,-,-,-,-,-,BJ,-,-,-,-,家用电器
59,雷特科技,920110,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
60,聚星科技,920111,北交所,-,-,-,-,-,-,BJ,-,-,-,-,电气设备
61,巴兰仕,920112,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
62,星图测控,920116,北交所,-,-,-,-,-,-,BJ,-,-,-,-,软件服务
63,太湖远大,920118,北交所,-,-,-,-,-,-,BJ,-,-,-,-,塑料
64,美德乐,920119,北交所,-,-,-,-,-,-,BJ,-,-,-,-,专用机械
65,江天科技,920121,北交所,-,-,-,-,-,-,BJ,-,-,-,-,广告包装
66,中纺标,920122,北交所,-,-,-,-,-,-,BJ,-,-,-,-,综合类
67,芭薇股份,920123,北交所,-,-,-,-,-,-,BJ,-,-,-,-,日用化工
68,南特科技,920124,北交所,-,-,-,-,-,-,BJ,-,-,-,-,机械基件
69,胜业电气,920128,北交所,-,-,-,-,-,-,BJ,-,-,-,-,元器件
70,立方控股,920130,北交所,-,-,-,-,-,-,BJ,-,-,-,-,软件服务
71,泰鹏智能,920132,北交所,-,-,-,-,-,-,BJ,-,-,-,-,家居用品
72,华岭股份,920139,北交所,-,-,-,-,-,-,BJ,-,-,-,-,半导体
73,恒合股份,920145,北交所,-,-,-,-,-,-,BJ,-,-,-,-,环境保护
