,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
0,长和,00001,主板,110.09,-,-,-,长江和记实业有限公司,-,38.58亿,HK,3927.12亿,11.7455,0.92,38.58亿,1.49,-,0.12%,-,-
1,中电控股,00002,主板,41.09,-,-,-,中电控股有限公司,-,25.26亿,HK,2129.80亿,16.6959,2.05,25.26亿,2.67,电力公用事业,0.06%,-,-
2,香港中华煤气,00003,主板,4.43,-,-,-,香港中华煤气有限公司,-,127.16亿,HK,2034.57亿,27.6123,3.61,127.16亿,7.05,燃气公用事业,0.07%,-,-
3,九龙仓集团,00004,主板,104.43,-,-,-,九龙仓集团有限公司,-,30.34亿,HK,2023.43亿,9.5225,0.64,30.34亿,3.86,综合企业,0.06%,-,-
4,汇丰控股,00005,主板,67.02,-,-,-,汇丰控股有限公司,-,203.75亿,HK,13783.43亿,136.3196,1.01,203.75亿,2.93,银行,0.05%,-,-
5,电能实业,00006,主板,55.48,-,-,-,电能实业有限公司,-,21.34亿,HK,1486.51亿,22.8326,1.26,21.34亿,79.03,电力公用事业,0.07%,-,-
6,智富资源投资,00007,主板,0.31,-,-,-,智富资源投资控股集团有限公司,-,25.21亿,HK,22.69亿,-,2.94,25.21亿,14.20,证券及经纪业,0.31%,-,-
7,电讯盈科,00008,主板,1.56,-,-,-,电讯盈科有限公司,-,77.20亿,HK,351.24亿,17.1631,2.92,77.20亿,0.92,电讯服务,0.07%,-,-
8,恒隆集团,00010,主板,55.56,-,-,-,恒隆集团有限公司,-,13.62亿,HK,428.91亿,11.6066,0.57,13.62亿,2.98,地产投资,0.02%,-,-
9,恒基地产,00012,主板,72.45,-,-,-,恒基兆业地产有限公司,-,36.37亿,HK,1805.97亿,8.3317,0.69,36.37亿,7.00,综合地产,0.04%,-,-
10,和黄医药,00013,主板,-,-,-,-,和黄医药(中国)有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
