,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
0,安捷伦科技,A,US,115.55,http://www.home.agilent.com,2.01%,1.08/25.31,安捷伦是全球最大的测试测量公司，是1999年从惠普公司分离出来的，当年1月该公司IPO融资额高达21亿美元，创下当年硅谷IPO融资之最。安捷伦的业务包括电子测量和生物分析测量，电子测量业务所涉及的市场包括通信测试和综合测试，产品领域包括光纤网络、传输网络、宽带和数据网络、无线通信和微波网络等；生物分析测量业务所涉及的市场包括生命科学，其中包括药物分析、基因表达和蛋白质组市场，以及化学分析，其中包括石化、环保、国土安全、法医、生物农业以及食品安全市场，产品领域包括：微阵列、微流体、气相色谱、液相色谱、质谱、软件和信息学、以及相关耗材、试剂和服务。,0.99,S1/F1,1-408-3458886,NYSE,5301 Stevens Creek Blvd. Santa Clara California 95051,326.55亿,3.05亿,生命科学工具,0.53%,90.64%,4.73
1,美国铝业,AA,US,66.01,http://www.alcoa.com,2.77%,1.61/16.64,Arconic Inc.于2016年3月10日在特拉华州注册成立，是为了控股母公司，美国铝业公司业务的分离与分销的目的。在母公司将这些业务转移给该公司之前，Alcoa Upstream Corporation将没有任何操作。其业务将包括集中在铝土矿业务部门氧化铝，电解铝，铸造产品，冷轧等矿产品与能源，它们将共同涵盖所有主要的生产经营活动，提供给Alcoa Upstream Corporation在供应链的每个关键环节的重要地位。Alcoa Upstream Corporation是全球铝生产具有成本竞争力的大型行业中的佼佼者。,0.98,S1/F1,412-553-4545,NYSE,-,174.18亿,4.25亿,金属与采矿,0.92%,76.08%,2.55
2,Artius II,AACB,US,10.38,-,0.05%,0.01/2109,-,0.1,-,-,-,-,2.87亿,13.62万,资本市场,0.20%,95.40%,-
3,全美在线,AACG,US,1.29,-,31.30%,-0.11/-,-,12.17,-,-,-,-,5550.87万,-687.07万,综合消费者服务,0.32%,0.24%,12.17
4,Armada Acquisition I,AACI,US,9.94,-,0.00%,0.08/-,-,0.1,-,-,-,-,3.38亿,-5.29万,资本市场,0.00%,50.14%,-
5,Abony I,AACO,US,9.85,-,0.25%,-/-,-,0,-,-,-,-,3.09亿,-9.97万,资本市场,-,-,-
6,美国航空,AAL,US,12.1,https://www.aa.com,3.57%,-0.58/39.62,"美国航空(American Airlines)致力提供卓越的全球飞行体验，公司共飞往50多个国家和地区的260多个城市。美国航空的机队由近900架飞机组成，每日从芝加哥、达拉斯/沃斯堡、洛杉矶、迈阿密和纽约五大枢纽起飞的航班数量超过了3,500班。美国航空的国际航线接近100条，包括伦敦、马德里、圣保罗、东京和北京等重要城市。",2.72,-,1-817-9631234,NASDAQ,-,80.03亿,-3.82亿,航空公司,6.37%,70.58%,-
7,美国大西洋,AAME,US,2.57,http://www.atlam.com,3.71%,0.22/10.9,"Atlantic American is a publicly traded (Nasdaq - AAME) holding company with three subsidiaries involved in well-defined specialty markets of the life, health, property and casualty insurance industries. Bankers Fidelity Life Insurance Company is the flagship carrier in the Life and Health Division.",0.39,-,-,NASDAQ,-,5242.09万,439.60万,保险,0.18%,5.28%,0.479
8,Acadian Asset,AAMI,US,67.78,-,2.91%,2.21/30.27,-,1.25,-,-,-,-,24.21亿,8000.00万,资本市场,0.60%,100.52%,39.96
9,应用光电,AAOI,US,162.17,-,18.06%,-0.64/-,-,17.74,-,-,NASDAQ,-,129.81亿,-3822.80万,半导体产品与设备,19.63%,64.64%,17.69
10,艾伦建材,AAON,US,99.59,http://www.aaon.com,5.67%,1.32/75.76,"AAON (NASDAQ: AAON) designs, manufactures and sells semi-custom heating, ventilation and air conditioning equipment (HVAC) for commercial and residential use. AAON is a world leader in creating comfortable and healthy indoor environments, efficiently, through the manufacture of premium HVAC equipment.",0.89,-,-,NASDAQ,-,81.51亿,1.08亿,耐用消费品,1.37%,89.95%,9.11
11,Advance Auto Parts,AAP,US,58.18,http://www.AdvanceAutoParts.com,3.96%,0.73/79.77,"Advance Auto Parts, Inc.始创于1929年。该公司是一家领先的专业零售商,其产品包括汽车零部件、附件、电池和维修项目，主要在美国运营销售。公司店铺经营的产品线广泛，包括轿车、厢式货车、运动型赛车和轻型卡车零部件。公司的服务对象有DIY客户、修理客户和商业客户。公司的商业客户主要有汽车修理厂、服务站及汽车经销商，将产品从公司店铺运送到客户的经营地。",0.03,S1/F1,-,NYSE,-,35.10亿,4400.00万,专营零售,1.74%,125.17%,1.6
12,亚盛医药,AAPG,US,23.95,-,2.82%,-0.5/-,-,7.21,-,-,-,-,22.35亿,-1.78亿,制药,-,0.02%,11.8
13,苹果,AAPL,US,271.06,http://investor.apple.com/,1.25%,2.85/33.79,苹果(AAPL)创建于1976年，设计研制了Mac便携式及桌上型电脑、OS X 操作系统，以及富有革命性的iPod、iTunes、iPhone 和iPad系列。苹果公司藉此由一家传统的硬件制造商，转变为一家互联网平台运营商,-0.87,http://sec.gov/Archives/edgar/data/1318605/000119312510149105/d424b4.htm,408-996-1010,NASDAQ,"1050 BING STREET SAN CARLOS, CA, USA",39794.70亿,420.97亿,电脑与外围设备,0.26%,64.59%,45.12
14,Aardvark,AARD,US,5.39,-,6.33%,-2.93/-,-,0.37,-,-,-,-,1.18亿,-5759.10万,制药,0.96%,48.82%,1.1
15,American Assets,AAT,US,20.91,http://www.aeat.com/,1.50%,0.92/23.07,"American Assets Trust is a full service, vertically integrated and self-administered real estate investment trust, or REIT, that owns, operates, acquires and develops high quality retail and office properties in attractive, high-barrier-to-entry markets primarily in Southern California, Northern California and Hawaii.  The company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of our core markets, submarkets and asset classes.  The company’s retail portfolio comprises approximately 3.0 million rentable square feet, and its office portfolio comprises approximately 1.8 million square feet.  In addition the company owns one mixed-use property and over 900 multifamily units.  The company intends to elect to be treated as a real estate investment trust, or REIT, for U.S. federal income tax purposes, commencing with the taxable year ending December 31, 2011.",1.01,-,-,NYSE,-,12.84亿,5564.80万,权益型REITs,0.45%,94.38%,1.12
