,close,high,low,p_change,open,pre_close,volume,MA_5,MA_60,MA_90
2017-01-18,0.977,0.989,0.969,0.0,0.989,0.0,345605,0.0,0.0,0.0
2017-01-19,0.989,0.99,0.978,0.012,0.978,0.977,257716,0.0,0.0,0.0
2017-01-20,0.988,0.99,0.986,-0.001,0.989,0.989,50980,0.0,0.0,0.0
2017-01-23,0.988,0.989,0.986,0.0,0.988,0.988,13739,0.0,0.0,0.0
2017-01-24,0.989,0.992,0.987,0.001,0.989,0.988,17937,0.9862,0.0,0.0
2017-01-25,1.001,1.004,0.99,0.012,0.99,0.989,84078,0.991,0.0,0.0
2017-01-26,1.01,1.01,1.005,0.009,1.01,1.001,53064,0.9952,0.0,0.0
2017-02-03,1.007,1.008,1.0,-0.003,1.003,1.01,39162,0.9989999999999999,0.0,0.0
2017-02-06,1.009,1.01,1.006,0.002,1.009,1.007,26081,1.0032,0.0,0.0
2017-02-07,1.018,1.023,1.01,0.009,1.01,1.009,25637,1.009,0.0,0.0
2017-02-08,1.019,1.023,1.017,0.001,1.02,1.018,9855,1.0126000000000002,0.0,0.0
2017-02-09,1.03,1.033,1.025,0.011,1.025,1.019,81221,1.0166000000000002,0.0,0.0
2017-02-10,1.035,1.037,1.032,0.005,1.034,1.03,91945,1.0222000000000002,0.0,0.0
2017-02-13,1.042,1.043,1.036,0.007,1.041,1.035,16788,1.0288000000000004,0.0,0.0
2017-02-14,1.049,1.049,1.043,0.007,1.044,1.042,43500,1.0350000000000004,0.0,0.0
2017-02-15,1.058,1.066,1.049,0.009,1.052,1.049,36564,1.0428000000000002,0.0,0.0
2017-02-16,1.06,1.066,1.058,0.002,1.061,1.058,51844,1.0488000000000002,0.0,0.0
2017-02-17,1.065,1.069,1.061,0.005,1.061,1.06,63312,1.0548000000000002,0.0,0.0
2017-02-20,1.092,1.095,1.068,0.027,1.068,1.065,62736,1.0648000000000004,0.0,0.0
2017-02-21,1.077,1.102,1.074,-0.015,1.102,1.092,45083,1.0704000000000005,0.0,0.0
2017-02-22,1.087,1.092,1.079,0.01,1.08,1.077,75113,1.0762000000000005,0.0,0.0
2017-02-23,1.088,1.094,1.087,0.001,1.092,1.087,37801,1.0818000000000005,0.0,0.0
2017-02-24,1.075,1.087,1.071,-0.013,1.087,1.088,33417,1.0838000000000005,0.0,0.0
2017-02-27,1.06,1.071,1.057,-0.015,1.071,1.075,31839,1.0774000000000004,0.0,0.0
2017-02-28,1.061,1.067,1.061,0.001,1.067,1.06,14671,1.0742000000000005,0.0,0.0
2017-03-01,1.064,1.066,1.061,0.003,1.062,1.061,15897,1.0696000000000006,0.0,0.0
2017-03-02,1.077,1.081,1.071,0.013,1.077,1.064,13698,1.0674000000000006,0.0,0.0
2017-03-03,1.064,1.073,1.062,-0.013,1.073,1.077,21901,1.0652000000000004,0.0,0.0
2017-03-06,1.065,1.075,1.063,0.001,1.064,1.064,7491,1.0662000000000003,0.0,0.0
2017-03-07,1.061,1.065,1.056,-0.004,1.065,1.065,11101,1.0662000000000003,0.0,0.0
2017-03-08,1.062,1.065,1.061,0.001,1.062,1.061,18264,1.0658000000000003,0.0,0.0
2017-03-09,1.071,1.072,1.069,0.009,1.071,1.062,19659,1.0646000000000002,0.0,0.0
2017-03-10,1.071,1.071,1.065,0.0,1.07,1.071,5620,1.0660000000000003,0.0,0.0
