ts_code,breakthrough_date,breakthrough_price,consolidation_amplitude,volatility_shrink_ratio,final_gain,success
sh603035,20240927,13.45,17.22,1.7531,1.26,False
sh600243,20240902,3.42,37.05,0.8013,1.75,False
sh688698,20250716,52.13,22.39,0.6446,6.37,False
sh600410,20240920,4.32,22.57,1.4493,7.17,False
sh600597,20240927,8.5,15.05,1.1778,-1.06,False
sh688448,20250716,30.15,46.26,0.1853,-0.3,False
sh688581,20250624,61.81,29.89,0.3154,7.57,False
sh688255,20250805,35.75,26.95,0.4149,6.41,False
sh600969,20240807,5.85,67.33,0.2625,-1.54,False
sh600114,20240806,13.92,25.72,2.2618,1.36,False
sh000132,20240930,5307.28,15.2,1.2743,-3.27,False
sh601996,20240927,1.92,16.38,1.2091,0.52,False
sh688361,20250701,86.6,25.24,1.4814,-4.28,False
sh600020,20240912,3.51,16.65,1.0684,-2.28,False
sh600673,20240930,7.92,15.56,1.1485,1.89,False
sh601222,20240731,5.89,13.79,0.953,0.17,False
sh600547,20240930,28.89,26.65,2.2962,-4.64,False
sh000006,20240926,4731.33,15.4,2.4898,8.63,False
sh688606,20250630,66.21,31.87,0.4867,-0.74,False
sh603898,20240927,7.96,38.28,0.502,1.0,False
sh600509,20240926,5.24,15.37,0.8091,8.77,False
sh603218,20240910,10.58,21.0,1.1069,-1.32,False
sh600293,20240927,2.65,11.1,1.1328,2.26,False
sh603730,20250819,5.92,13.45,0.5932,3.38,False
sh688648,20251110,57.76,61.48,0.7088,-10.98,False
sh688285,20251020,8.68,17.64,0.523,9.22,False
sh688078,20250627,31.28,25.37,0.4858,-1.53,False
sh600339,20240801,3.15,20.5,0.3623,0.63,False
sh900905,20240926,3.33,9.92,1.9706,1.29,False
sh603101,20240927,4.86,16.23,0.8103,0.82,False
sh600610,20240930,4.64,28.02,2.0789,-2.8,False
sh601388,20240927,2.38,14.92,1.0613,2.53,False
sh688551,20251124,37.56,33.6,1.2109,1.28,False
sh688036,20250804,84.1,14.27,0.5603,2.38,False
sh601908,20240930,2.95,26.24,2.3331,-4.75,False
sh603087,20251212,66.28,31.67,0.6153,2.41,False
sh600377,20241101,12.42,23.58,0.8693,0.48,False
sh600521,20240926,16.64,15.89,1.0688,16.29,False
sh688660,20250624,8.4,40.1,0.464,2.5,False
sh688033,20250929,6.61,21.28,1.5954,9.23,False
sh000853,20240927,1345.11,11.52,1.0224,4.58,False
sh603978,20260206,25.9,55.61,0.4712,-4.32,False
sh688800,20260401,83.9,35.7,1.4634,4.15,False
sh688349,20250724,25.3,17.55,1.2017,-2.25,False
sh600792,20240930,3.62,14.58,0.9998,3.31,False
sh688280,20251024,7.94,37.0,0.7639,12.97,False
sh600008,20240902,2.66,12.61,0.7947,-1.13,False
sh600638,20240731,4.44,37.51,0.5506,-12.15,False
sh600462,20240903,1.52,42.01,0.4959,-3.95,False
sh688579,20251021,11.48,25.63,0.8652,1.66,False
sh601689,20240926,39.43,31.97,0.7919,16.79,False
sh688050,20250901,81.13,22.83,1.1253,1.57,False
sh601113,20240930,3.5,18.88,0.6761,-4.86,False
sh603167,20240930,7.31,25.42,1.1148,-2.74,False
sh688399,20260204,71.46,49.8,1.1863,-4.11,False
sh605577,20250711,13.09,16.68,1.4213,-1.07,False
sh600742,20240926,7.36,13.47,0.9442,9.24,False
sh688403,20251124,13.62,53.9,0.4764,8.44,False
sh603052,20251027,29.26,30.27,0.9422,-0.34,False
sh601069,20240801,11.92,39.24,0.4617,-2.85,False
sh603787,20240902,10.32,35.08,0.4072,-7.56,False
sh600096,20240731,18.0,19.5,2.0343,0.06,False
sh603519,20240927,9.8,32.17,0.7123,6.22,False
sh601877,20240925,18.78,14.2,1.8715,16.35,False
sh688080,20250804,46.9,23.13,0.358,3.05,False
sh601838,20251014,18.23,14.47,1.2182,0.93,False
sh603803,20240930,6.58,28.34,0.8191,-2.13,False
sh600415,20240826,7.76,18.02,0.5441,3.61,False
sh688233,20260401,70.43,51.02,0.7031,5.61,False
sh603282,20260325,20.3,27.52,0.8946,4.24,False
sh603528,20240926,6.37,23.43,0.5999,13.97,False
sh600239,20240920,2.0,13.15,0.878,32.0,True
sh603186,20240819,24.15,39.9,1.3701,-6.13,False
sh603566,20241008,14.09,30.06,2.1704,-15.62,False
sh601808,20241008,17.14,23.49,1.1189,-12.02,False
sh688136,20250905,42.27,43.92,0.6354,0.57,False
sh600213,20240812,6.13,31.22,0.4119,3.75,False
sh603001,20240926,4.22,17.8,0.7286,9.95,False
sh688155,20251124,58.91,41.74,0.4197,2.85,False
sh600120,20240731,3.46,18.98,0.4841,-1.44,False
sh600773,20240806,11.36,27.54,0.8155,-2.11,False
sh601059,20251218,18.23,21.72,1.5014,-2.19,False
sh688261,20250630,41.25,25.36,0.3667,-2.79,False
sh600894,20240731,9.12,37.18,1.2058,3.73,False
sh603063,20250714,31.89,25.12,1.0082,-3.29,False
sh000148,20240926,7440.93,10.28,1.2947,12.83,False
sh603998,20240731,10.2,27.29,0.8188,2.25,False
sh600827,20240925,7.74,15.6,0.7795,16.91,False
sh603118,20240826,7.74,30.41,1.0994,-11.5,False
sh688548,20250813,11.42,7.32,0.9646,-3.5,False
sh600200,20240927,9.59,20.49,0.8402,4.38,False
sh600573,20240731,9.22,25.31,1.2215,3.15,False
sh603683,20260113,27.55,31.52,0.5022,-2.29,False
sh601216,20240731,3.6,19.25,1.1079,-1.94,False
sh688798,20250729,73.0,20.02,0.3563,-0.26,False
sh601088,20240812,36.06,17.51,1.3511,2.91,False
sh603881,20240912,10.95,12.73,1.4902,0.0,False
sh688336,20251015,52.97,30.57,0.9052,12.46,False
sh600624,20240927,3.61,59.53,0.4469,0.28,False
sh603387,20250710,8.1,9.38,1.5457,2.59,False
sh603880,20250924,6.12,29.25,0.9298,-1.31,False
sh600497,20240731,5.24,16.44,1.3327,-3.63,False
sh688378,20250717,17.25,17.55,1.2276,2.2,False
sh601089,20251126,24.53,29.53,0.5257,1.3,False
sh600988,20240923,18.4,30.88,0.5309,8.75,False
sh600072,20240930,14.47,23.83,2.6154,-3.73,False
sh603382,20260105,35.19,23.87,0.8456,-6.31,False
sh688333,20250703,65.99,35.94,0.5608,-9.09,False
sh600515,20240926,3.42,16.36,1.4674,2.64,False
sh600346,20240731,13.44,21.89,0.658,-4.46,False
sh601717,20240930,12.97,34.64,0.6947,-9.33,False
sh688350,20260324,26.24,45.99,0.9485,9.41,False
sh688299,20250811,18.22,27.68,0.6536,1.92,False
sh601127,20240930,88.81,25.6,0.7206,2.91,False
sh600325,20240926,6.15,32.54,1.0124,4.88,False
sh688819,20250624,27.04,28.53,0.4167,0.7,False
sh600196,20240731,22.99,13.35,1.256,1.78,False
sh603960,20241008,21.47,35.41,1.0355,-13.78,False
sh601169,20240807,5.04,12.67,1.4112,1.19,False
sh601588,20250702,1.77,20.04,0.4865,4.52,False
sh900957,20240830,0.27,77.98,1.6791,-0.75,False
sh600738,20240926,3.87,19.35,1.2522,5.43,False
sh603029,20240930,15.28,19.5,0.9516,-4.71,False
sh601326,20260105,3.5,21.31,0.2506,0.86,False
sh600396,20240930,2.7,29.95,0.8006,-6.67,False
sh600776,20240920,9.63,21.58,1.1351,5.3,False
sh603486,20250624,54.16,42.26,0.2856,6.67,False
sh600211,20240814,32.38,22.43,0.5734,0.25,False
sh601789,20240927,3.66,16.06,1.0794,3.55,False
sh688207,20250624,14.98,32.42,0.406,-1.0,False
sh603836,20251013,14.03,9.23,1.1914,1.57,False
sh000160,20240927,1841.66,15.53,1.474,3.01,False
sh603330,20240930,5.48,16.97,1.0384,-5.29,False
sh600421,20240819,6.66,43.96,0.5598,-4.35,False
sh688380,20250725,28.48,14.25,0.9284,-1.44,False
sh600975,20241107,6.98,37.57,0.9652,-5.01,False
sh600108,20240926,2.54,11.41,0.8996,5.89,False
sh688249,20250722,21.8,13.08,0.9195,1.97,False
sh600692,20240918,5.33,56.95,0.439,4.32,False
sh603587,20240927,10.91,13.65,0.9047,1.38,False
sh600816,20240925,2.74,19.39,1.3051,20.44,True
sh688199,20251020,23.99,36.49,0.4304,7.09,False
sh688603,20250723,48.8,25.12,0.4195,31.15,True
sh601921,20251103,8.08,16.96,0.5775,0.99,False
sh600858,20240926,4.34,20.59,1.665,1.61,False
sh600676,20240821,3.54,82.4,2.1354,-9.04,False
sh600874,20251216,6.14,17.61,1.4311,-2.12,False
sh603082,20250721,39.64,16.05,0.8015,0.15,False
sh600372,20240927,11.96,24.41,1.4311,3.85,False
sh603979,20240927,48.44,43.29,0.6303,-10.92,False
sh600615,20240802,8.75,43.7,0.4114,-6.0,False
sh603105,20250702,8.35,20.11,0.4538,1.44,False
sh600875,20240731,15.94,18.88,1.4919,-3.14,False
sh603231,20251215,18.68,21.3,1.6484,-0.32,False
sh603662,20250806,69.49,19.59,0.7865,-1.71,False
sh600592,20240731,9.3,37.07,1.0485,-4.52,False
sh600173,20250624,5.72,31.54,0.8107,3.32,False
sh600208,20240924,1.9,21.92,1.8076,53.68,True
sh603305,20250717,14.01,21.04,0.7412,-1.28,False
sh600888,20240927,6.94,16.74,0.8388,2.16,False
sh688107,20250725,28.84,10.67,0.8169,1.25,False
sh600246,20240926,7.15,31.64,0.5285,10.07,False
sh603663,20240801,13.98,50.54,0.5171,-6.36,False
sh600721,20240730,6.19,30.69,0.7606,29.24,True
sh603030,20240925,1.88,37.7,0.6624,12.77,False
sh600172,20240927,2.3,31.19,1.3794,3.91,False
sh601658,20251014,5.7,15.28,0.9052,-0.53,False
sh000137,20240927,3454.09,16.0,1.0673,7.82,False
sh603786,20250826,56.77,12.55,0.7741,2.08,False
sh600476,20240920,12.98,40.55,0.5495,10.09,False
sh688737,20250924,21.39,32.76,1.4494,9.12,False
sh601068,20250624,4.52,43.44,0.1686,0.88,False
sh603600,20240926,10.03,33.57,0.4832,15.95,False
sh600111,20240927,18.72,10.77,1.6034,6.14,False
sh600438,20240927,20.76,24.07,0.7813,-0.63,False
sh603535,20251020,11.2,25.9,0.9649,0.0,False
sh688584,20250624,17.72,29.53,0.4763,0.9,False
sh603018,20241021,8.36,41.81,1.5107,0.48,False
sh603530,20250627,26.15,28.87,0.4273,4.86,False
sh603363,20251229,4.68,28.61,0.7439,-3.63,False
sh603057,20250916,22.08,31.05,2.1638,-12.14,False
sh600968,20250911,3.97,11.76,1.1618,-2.52,False
sh601811,20240801,13.35,21.38,1.5059,-0.52,False
sh688161,20250625,26.14,24.57,0.3248,-1.68,False
sh688236,20260105,24.91,30.4,0.3548,-0.76,False
sh600177,20240731,6.49,13.48,0.7821,0.0,False
sh601375,20240731,3.66,16.03,0.5261,-3.45,False
sh600724,20240926,3.71,14.21,1.5147,-0.54,False
sh000151,20240927,1569.08,15.8,1.4767,0.78,False
sh601188,20240927,3.2,44.95,0.2486,7.81,False
sh603629,20250709,24.34,21.92,0.7057,4.44,False
sh688278,20250717,76.66,17.77,0.8098,-0.57,False
sh603806,20240930,17.4,25.72,0.6739,-10.46,False
sh603628,20240930,14.62,24.39,0.728,-6.7,False
sh601872,20240816,7.74,24.5,0.6969,1.03,False
sh688085,20250627,15.77,32.11,0.5062,1.0,False
sh603286,20240926,17.76,30.79,0.4064,7.49,False
sh601595,20240927,23.27,29.17,1.9655,-6.96,False
sh603086,20240927,4.07,11.37,0.9671,1.72,False
sh600797,20240920,4.91,12.42,0.6395,8.76,False
sh000856,20240927,5004.2,10.06,1.6075,5.9,False
sh688302,20251209,54.28,33.96,0.9299,-6.69,False
sh688665,20260226,55.0,19.26,1.3144,-10.91,False
sh603933,20250625,15.87,31.66,0.4899,2.84,False
sh603583,20250624,36.18,43.05,0.6838,0.14,False
sh603219,20250804,15.55,18.61,0.6796,6.3,False
sh603950,20250716,25.81,28.14,0.69,-6.16,False
sh688055,20250624,3.65,23.72,0.3299,0.82,False
sh900928,20240731,0.53,20.04,0.528,-2.85,False
sh601116,20240808,8.27,25.35,0.4441,-6.41,False
sh603257,20251201,59.63,43.22,0.8644,-3.24,False
sh601158,20240815,4.92,7.79,1.1157,-1.63,False
sh600642,20240807,7.61,18.12,1.9929,3.68,False
sh600011,20250320,6.66,17.34,0.4726,-1.2,False
sh688503,20250630,41.39,35.65,1.175,10.82,False
sh600576,20240906,5.28,36.13,1.276,-11.55,False
sh688484,20251114,42.92,25.68,1.7199,-8.67,False
sh600822,20240926,8.36,32.87,0.6257,4.9,False
sh000079,20240930,2590.19,17.34,1.3987,-4.22,False
sh603229,20240806,7.54,25.85,0.514,-0.66,False
sh600538,20241018,4.06,38.6,1.5253,4.68,False
sh603205,20250624,29.22,41.01,0.2754,0.61,False
sh600841,20240909,4.22,75.5,0.9766,-11.14,False
sh603903,20241008,7.0,28.51,1.0295,-8.71,False
sh600308,20240926,3.38,12.68,1.4983,8.87,False
sh688180,20251015,38.43,35.11,0.9914,0.29,False
sh900934,20240830,1.4,25.18,0.3508,-2.29,False
sh603383,20240731,31.44,36.33,1.1681,-3.78,False
sh688049,20251201,54.83,35.25,1.0487,-2.19,False
sh688560,20250924,14.15,19.17,1.9905,5.72,False
sh600621,20240731,13.48,24.55,1.4085,-2.97,False
sh600989,20250707,15.75,24.63,0.3231,-1.21,False
sh601939,20250902,9.03,13.35,0.6059,-2.32,False
sh688007,20250729,15.72,13.15,1.0558,-2.1,False
sh603879,20241025,2.85,25.36,0.8981,10.18,False
sh600715,20240905,1.64,32.98,0.954,0.0,False
sh600272,20240904,10.09,38.85,1.7457,-2.68,False
sh603182,20260306,16.02,13.99,1.2202,-0.81,False
sh688133,20250624,22.31,37.59,0.3989,6.01,False
sh601369,20240927,7.61,14.23,1.1195,2.1,False
sh688479,20250924,19.25,19.06,1.2335,-0.57,False
sh600958,20250114,9.66,25.1,1.3869,-0.62,False
sh600125,20240930,6.11,28.22,1.8939,-3.44,False
sh603067,20240927,8.14,27.36,1.8357,-0.88,False
sh688150,20250929,24.9,16.99,1.1478,-1.77,False
sh688099,20250725,75.0,13.57,1.0862,-3.87,False
sh603505,20240927,19.77,23.9,1.8725,-2.93,False
sh601016,20240731,2.9,16.18,0.9253,-2.41,False
sh688432,20250708,11.26,15.76,1.2187,0.18,False
sh603318,20240926,5.9,11.07,0.9841,10.34,False
sh601058,20240924,13.66,23.87,0.8698,13.84,False
sh688681,20251218,17.25,23.6,1.1751,2.14,False
sh600409,20240927,5.33,26.18,2.1092,6.01,False
sh603357,20250710,8.64,15.2,0.2137,-1.39,False
sh688178,20251128,25.63,38.58,0.4384,-2.3,False
sh601668,20240830,5.12,10.91,1.0221,-7.23,False
sh600970,20240930,11.05,34.34,0.9046,-5.61,False
sh600697,20240808,10.5,33.09,0.2909,-3.43,False
sh600710,20240731,7.66,18.36,2.0446,-2.09,False
sh688598,20250624,24.74,36.46,0.8574,1.41,False
sh600143,20240815,6.79,26.85,1.0951,-2.36,False
sh688202,20260107,65.49,35.84,0.6268,10.02,False
sh603529,20260323,31.11,13.28,1.9973,2.89,False
sh688651,20250711,35.0,20.93,0.8223,5.17,False
sh600510,20240926,4.33,23.81,1.3034,2.08,False
sh600343,20240919,8.26,52.16,1.67,5.08,False
sh603766,20240730,6.0,42.17,1.4585,-3.17,False
sh688565,20251125,10.27,20.82,1.0703,1.46,False
sh603949,20250815,18.95,42.44,0.4129,3.59,False
sh688185,20250630,59.63,27.45,0.5673,-0.92,False
sh600039,20240930,6.58,39.25,0.8022,5.32,False
sh600844,20240927,2.55,27.18,0.3961,-3.53,False
sh603906,20240927,8.22,24.24,1.0889,7.3,False
sh603728,20240927,44.08,34.24,1.2371,0.32,False
sh900952,20250117,0.11,29.95,0.9742,-4.46,False
sh600193,20241101,3.52,52.01,2.9747,18.18,False
sh600609,20240730,4.22,42.1,0.7716,-6.16,False
sh600320,20240926,3.6,23.68,0.8386,11.68,False
sh688061,20260108,34.5,22.81,0.6732,3.19,False
sh688355,20250625,17.4,30.2,0.2864,2.0,False
sh600869,20240816,3.77,51.01,1.469,-0.53,False
sh600387,20240930,2.95,21.03,0.7688,-6.78,False
sh600596,20240927,7.93,20.13,1.8301,0.25,False
sh603666,20250716,34.2,23.1,0.7462,-3.65,False
sh688699,20250724,34.0,16.09,1.086,12.15,False
sh605077,20251110,17.52,19.08,1.0235,-0.29,False
sh688103,20251105,63.29,29.42,1.2984,3.07,False
sh603980,20240927,3.61,21.74,0.6089,6.09,False
sh600176,20240801,10.36,30.26,0.6339,-3.57,False
sh603667,20240930,16.53,34.76,1.2886,-6.11,False
sh600725,20240930,2.83,37.74,0.5361,-1.41,False
sh688733,20250624,19.1,28.63,0.5025,0.47,False
sh601997,20240926,5.29,17.57,2.1087,7.75,False
sh000133,20240927,3774.3,13.21,1.0748,6.03,False
sh600115,20240927,3.94,19.14,1.1541,-6.35,False
sh600746,20240926,6.43,10.99,0.5392,7.93,False
sh603056,20260114,15.44,17.34,0.606,22.09,True
sh688580,20251021,48.17,31.56,0.3668,9.8,False
sh601022,20260126,9.8,25.29,0.313,-3.67,False
sh600508,20240927,13.01,32.5,0.8774,0.38,False
sh600812,20240731,4.7,29.16,0.5554,4.04,False
sh603899,20240927,31.21,24.5,1.1418,-1.03,False
sh601117,20240806,7.13,17.21,1.0028,-1.54,False
sh600021,20240807,8.91,16.08,0.8667,-2.69,False
sh688360,20251024,21.15,30.72,1.7132,7.94,False
sh600376,20240920,2.36,22.63,1.166,27.54,True
sh600525,20240904,4.28,18.61,0.8499,-0.23,False
sh688550,20251212,45.84,18.73,0.6388,-4.32,False
sh600611,20241218,7.95,50.7,0.5164,-11.19,False
sh603100,20240927,18.32,18.32,0.7812,-1.53,False
sh900904,20240926,0.49,28.96,0.4949,11.11,False
sh603429,20240930,4.48,22.31,1.6296,-3.79,False
sh603235,20250908,27.66,14.62,0.8677,-1.27,False
sh603936,20240731,7.95,25.4,1.4278,-7.3,False
sh600009,20240927,35.19,19.11,1.4031,-1.22,False
sh603718,20240930,7.37,23.79,0.6752,-10.44,False
sh600793,20240926,9.35,17.36,0.9111,5.03,False
sh688348,20250721,44.19,15.23,1.4377,2.2,False
sh603757,20251124,36.05,60.13,0.8004,1.64,False
sh000852,20240927,5136.44,12.68,1.3619,5.46,False
sh688306,20250722,10.32,35.06,0.7466,-1.16,False
sh688032,20250708,104.27,16.17,0.822,-3.14,False
sh600520,20240830,18.17,32.08,0.8005,-2.2,False
sh000061,20250326,176.31,1.1,2.4793,0.14,False
sh688536,20250723,137.38,33.99,0.9314,6.88,False
sh600990,20240731,18.36,67.2,0.8215,-1.31,False
sh603166,20240927,5.03,16.85,0.9671,0.4,False
sh600310,20240926,3.59,27.76,1.1154,11.98,False
sh688051,20251222,39.98,50.71,2.2508,-0.45,False
sh601688,20240906,12.18,13.89,0.4021,-0.33,False
sh603400,20260120,59.45,19.32,0.8456,0.42,False
