ts_code,breakthrough_date,breakthrough_price,max_drawdown,max_gain,success,final_gain
sh603035,20240927,13.45,2.82,16.28,False,-1.41
sh600243,20240902,3.42,2.92,34.5,True,34.5
sh688698,20250716,52.13,0.52,9.46,False,5.6
sh600410,20240920,4.32,1.39,30.53,True,28.68
sh600597,20240927,8.5,5.53,7.76,False,-2.82
sh688448,20250716,30.15,1.43,57.88,True,57.88
sh688581,20250624,61.81,0.11,17.79,False,17.79
sh688255,20250805,35.75,5.73,7.64,False,-0.08
sh600969,20240807,5.85,14.19,0.0,False,-12.99
sh600114,20240806,13.92,2.3,17.46,False,17.46
sh000132,20240930,5307.28,7.46,6.91,False,-1.25
sh601996,20240927,1.92,1.04,49.48,True,34.38
sh688361,20250701,86.6,9.93,6.81,False,6.81
sh600020,20240912,3.51,3.42,17.95,False,9.12
sh600673,20240930,7.92,5.68,3.54,False,1.77
sh601222,20240731,5.89,2.21,9.68,False,9.68
sh600547,20240930,28.89,11.8,0.0,False,-9.83
sh000006,20240926,4731.33,0.0,15.6,False,11.96
sh688606,20250630,66.21,2.05,10.39,False,8.08
sh603898,20240927,7.96,0.0,10.05,False,4.52
sh600509,20240926,5.24,0.0,49.0,True,49.0
sh603218,20240910,10.58,4.54,19.94,False,3.59
sh600293,20240927,2.65,0.0,14.72,False,9.43
sh603730,20250819,5.92,5.07,3.55,False,1.18
sh688648,20251110,57.76,16.41,0.0,False,-6.18
sh688285,20251020,8.68,0.0,13.94,False,12.1
sh688078,20250627,31.28,2.33,6.84,False,6.84
sh600339,20240801,3.15,2.22,6.35,False,-0.63
sh900905,20240926,3.33,4.48,7.78,False,-2.82
sh603101,20240927,4.86,1.03,22.01,True,19.95
sh600610,20240930,4.64,7.76,35.56,True,18.32
sh601388,20240927,2.38,1.26,15.16,False,15.16
sh688551,20251124,37.56,4.9,3.89,False,-0.67
sh688036,20250804,84.1,5.2,6.08,False,6.06
sh601908,20240930,2.95,12.2,10.17,False,4.07
sh603087,20251212,66.28,2.5,7.86,False,5.76
sh600377,20241101,12.42,2.42,10.23,False,10.23
sh600521,20240926,16.64,0.0,18.99,False,9.49
sh688660,20250624,8.4,1.55,30.6,True,30.6
sh688033,20250929,6.61,0.91,9.83,False,6.81
sh000853,20240927,1345.11,0.0,14.17,False,2.8
sh603978,20260206,25.9,10.27,6.25,False,2.28
sh688800,20260401,83.9,3.61,16.81,False,15.27
