ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
09866,20250412,20260418,20260401,48.38,54.5,12.65,12.65,10,41.32,31.9,0.79,12.65,0.0,0.0,3.95,6,3,2.0,20.15,7.59,27.74,4,60,4.01
09863,20250412,20260418,20260401,51.25,56.95,11.12,11.12,10,49.56,14.91,7.02,11.12,0.0,0.0,4.74,7,1,7.0,13.64,2.86,16.5,7,60,2.15
09996,20250412,20260418,20260401,6.16,7.1,15.26,15.26,10,6.12,16.01,8.12,15.26,0.0,0.0,6.2,6,3,2.0,16.65,2.12,18.77,0,60,4.11
01877,20250412,20260418,20260401,25.84,28.96,12.07,12.07,10,22.28,29.98,-3.48,12.07,0.0,0.0,2.92,5,4,1.25,20.16,8.1,28.26,6,60,9.45
06127,20250412,20260418,20260401,20.92,21.98,5.07,5.07,10,19.96,10.12,7.46,5.07,0.0,0.0,3.01,5,3,1.67,13.8,8.42,22.23,0,60,1.57
02600,20240126,20260418,20260401,11.72,12.89,9.98,9.98,10,12.64,1.98,6.06,9.98,0.0,0.0,4.21,5,4,1.25,17.36,7.42,24.78,0,60,5.48
03692,20250412,20260418,20260401,37.42,39.76,6.25,6.25,10,36.44,9.11,3.58,6.25,0.0,0.0,2.59,5,4,1.25,11.13,4.82,15.95,0,60,3.38
02252,20250412,20260418,20260401,27.46,34.14,24.33,24.33,10,24.44,39.69,3.79,24.33,0.0,0.0,8.06,5,3,1.67,30.29,7.44,37.74,2,60,22.54
01651,20250412,20260418,20260401,37.12,45.8,23.38,23.38,10,34.5,32.75,17.03,23.38,0.0,0.0,10.42,6,3,2.0,25.91,3.88,29.79,0,60,7.01
01167,20250412,20260418,20260401,7.3,8.06,10.41,10.41,10,6.42,25.55,-1.1,10.41,0.0,0.0,2.9,5,4,1.25,17.67,7.22,24.89,1,60,14.33
06821,20250412,20260418,20260331,91.0,98.45,8.19,8.19,11,73.6,33.76,8.08,10.66,0.0,0.0,4.81,5,4,1.25,20.54,11.6,32.14,2,60,-1.55
00966,20230625,20260418,20260331,20.48,22.2,8.4,8.4,11,19.31,14.97,7.71,8.98,0.0,0.0,4.24,5,5,1.0,15.6,7.18,22.78,0,60,-0.36
01184,20240126,20260418,20260331,4.63,5.05,9.07,9.07,11,4.53,11.48,6.48,9.07,0.0,0.0,4.02,6,2,3.0,9.38,0.61,9.98,3,60,1.41
01288,20240126,20260418,20260331,5.57,6.05,8.62,8.62,11,5.83,3.77,3.05,7.54,0.0,0.0,2.87,9,1,9.0,8.49,0.17,8.66,7,60,4.13
02142,20250412,20260418,20260331,13.1,14.95,14.12,14.12,11,12.08,23.76,4.5,12.9,0.0,0.0,4.77,7,3,2.33,22.22,8.31,30.53,1,60,8.02
01396,20240126,20260418,20260331,6.1,8.25,35.25,35.25,11,5.17,59.57,-1.97,24.59,0.0,0.0,6.98,6,2,3.0,48.22,14.74,62.96,3,60,25.38
09969,20250412,20260418,20260330,13.66,15.72,15.08,15.08,12,12.5,25.76,12.66,13.91,0.0,0.0,6.7,4,7,0.57,20.4,5.68,26.09,7,60,4.94
00133,20240126,20260418,20260330,16.36,18.5,13.08,13.08,12,15.55,18.97,1.77,14.3,0.0,0.0,4.64,8,3,2.67,14.24,1.6,15.84,7,60,2.32
02096,20250412,20260418,20260330,12.55,13.79,9.88,9.88,12,11.8,16.86,9.4,11.31,0.0,0.0,5.27,6,5,1.2,11.76,2.09,13.85,3,60,0.44
02877,20240126,20260418,20260327,9.2,9.88,7.39,7.39,13,8.58,15.15,6.09,7.17,0.0,0.0,3.37,7,5,1.4,12.71,5.32,18.03,1,60,0.71
02162,20250412,20260418,20260327,60.55,79.25,30.88,30.88,13,53.45,48.27,17.84,22.38,0.0,0.0,10.28,8,4,2.0,31.64,3.66,35.3,9,60,6.66
06699,20250412,20260418,20260327,66.55,90.25,35.61,35.61,13,60.9,48.19,16.83,28.25,0.0,0.0,11.84,10,1,10.0,31.96,0.66,32.62,5,60,9.06
06990,20250412,20260418,20260327,457.6,520.0,13.64,13.64,13,400.6,29.81,10.03,6.03,0.0,0.0,3.81,6,6,1.0,19.42,6.01,25.43,5,60,6.73
02171,20250412,20260418,20260327,17.46,24.9,42.61,42.61,13,15.32,62.53,5.33,19.7,0.0,0.0,6.98,7,5,1.4,43.0,5.88,48.87,7,60,32.45
01789,20250412,20260418,20260327,6.27,6.95,10.85,10.85,13,5.79,20.03,2.55,11.64,0.0,0.0,4.0,5,6,0.83,15.33,4.55,19.88,4,60,-1.14
01657,20250412,20260418,20260326,15.5,22.82,47.23,47.23,14,14.5,57.38,3.23,10.65,0.0,0.0,3.84,5,2,2.5,48.52,5.38,53.91,4,60,33.06
02595,20250412,20260418,20260325,32.0,45.54,42.31,42.31,15,22.34,103.85,4.44,22.69,0.0,0.0,7.7,8,6,1.33,55.54,17.12,72.66,4,60,16.06
02815,20230625,20260412,20260325,68.2,74.94,9.88,9.88,10,66.56,12.59,-0.21,9.88,0.0,0.0,2.92,6,3,2.0,14.04,4.29,18.33,0,60,7.92
