ts_code,breakthrough_date,roe,netprofit_yoy,new_high,final_gain,success
sh603035,20240927,5.0528,11.4259,False,0.82,False
sh600243,20240902,-1.9167,31.2999,False,0.0,False
sh688698,20250716,6.532,4.8715,False,2.9,False
sh600410,20240920,-5.8929,-603.8451,False,16.66,False
sh600597,20240927,3.151,-17.0333,False,-3.18,False
sh688448,20250716,0.4411,-46.0956,False,17.68,False
sh688581,20250624,2.3189,6.5689,False,2.96,False
sh688255,20250805,0.2263,-89.9402,False,2.21,False
sh600969,20240807,0.556,195.1961,False,-11.11,False
sh600114,20240806,7.3966,431.5329,False,3.74,False
sh000132,20240930,,,False,-2.36,False
sh601996,20240927,0.2508,-80.1702,False,1.56,False
sh688361,20250701,-0.7399,73.0141,False,-6.89,False
sh600020,20240912,4.1445,-0.9246,False,15.67,False
sh600673,20240930,2.4015,263.0028,False,-2.15,False
sh601222,20240731,3.8625,3.0195,False,0.51,False
sh600547,20240930,4.1523,57.2442,False,-1.49,False
sh000006,20240926,,,False,8.65,False
sh688606,20250630,1.5633,36.6773,False,0.54,False
sh603898,20240927,1.4497,-46.8951,False,3.27,False
sh600509,20240926,4.1301,28.631,False,9.34,False
sh603218,20240910,4.2064,44.7106,False,1.7,False
sh600293,20240927,1.8895,283.7093,False,4.53,False
sh603730,20250819,5.2286,-42.5611,False,-2.03,False
sh688648,20251110,35.4966,1074.3493,False,-13.63,False
sh688285,20251020,2.1878,54.3181,False,7.14,False
sh688078,20250627,1.2038,-26.1435,False,4.03,False
sh600339,20240801,2.0076,-22.0455,False,4.44,False
sh900905,20240926,,,False,2.55,False
sh603101,20240927,2.7889,-67.1922,False,5.35,False
sh600610,20240930,-70.1292,49.8554,False,-2.16,False
sh601388,20240927,1.599,-35.6006,False,5.89,False
sh688551,20251124,3.9614,-0.0851,False,3.89,False
sh688036,20250804,6.0559,-57.4754,False,-2.73,False
sh601908,20240930,-9.9844,-2053.9593,False,-6.1,False
sh603087,20251212,7.3273,61.3238,False,3.03,False
sh600377,20241101,11.6391,2.0545,False,3.22,False
sh600521,20240926,8.8696,31.5999,False,7.09,False
sh688660,20250624,-3.7312,11.6088,False,3.81,False
sh688033,20250929,-5.8749,57.5161,False,7.11,False
sh000853,20240927,,,False,4.27,False
sh603978,20260206,-3.813,37.0176,False,-1.81,False
sh688800,20260401,10.6183,119.8865,False,15.24,False
sh688349,20250724,1.5535,-51.5415,False,-0.91,False
sh600792,20240930,-6.8632,-600.7636,False,-3.31,False
sh688280,20251024,13.4127,121.6206,False,10.96,False
sh600008,20240902,3.1412,20.986,False,-4.14,False
sh600638,20240731,0.4884,-70.0465,False,-13.27,False
sh600462,20240903,,,False,-3.29,False
sh688579,20251021,2.2898,1.3041,False,6.53,False
