breakthrough_date,breakthrough_price,breakthrough_ratio,final_gain,ma120,success,ts_code,volume_ratio
20240927,13.45,3.8579,1.26,12.95,False,sh603035,1.588
20240902,3.42,3.0534,1.75,3.32,False,sh600243,2.4432
20250716,52.13,2.4529,6.37,50.88,False,sh688698,5.2827
20240920,4.32,1.6698,7.17,4.25,False,sh600410,3.1898
20240927,8.5,5.6163,-1.06,8.05,False,sh600597,5.4525
20250716,30.15,1.1151,-0.3,29.82,False,sh688448,2.5022
20250624,61.81,0.7092,7.57,61.37,False,sh688581,0.6634
20250805,35.75,0.0666,6.41,35.73,False,sh688255,3.9268
20240807,5.85,6.8461,-1.54,5.48,False,sh600969,2.839
20240806,13.92,0.2292,1.36,13.89,False,sh600114,0.876
20240930,5307.28,10.15,-3.27,4818.23,False,sh000132,2.9712
20240927,1.92,3.2767,0.52,1.86,False,sh601996,1.7324
20250701,86.6,1.0326,-4.28,85.71,False,sh688361,0.7111
20240912,3.51,0.2683,-2.28,3.5,False,sh600020,0.5243
20240930,7.92,8.0177,1.89,7.33,False,sh600673,3.6863
20240731,5.89,2.3199,0.17,5.75,False,sh601222,1.3646
20240930,28.89,2.0126,-4.64,28.32,False,sh600547,3.6456
20240926,4731.33,6.9151,8.63,4425.32,False,sh000006,2.492
20250630,66.21,0.3548,-0.74,65.98,False,sh688606,0.6734
20240927,7.96,2.2222,1.0,7.79,False,sh603898,1.7737
20240926,5.24,0.6003,8.77,5.21,False,sh600509,1.5632
20240910,10.58,1.4143,-1.32,10.44,False,sh603218,1.2195
20240927,2.65,1.7795,2.26,2.6,False,sh600293,2.9097
20250819,5.92,0.5687,3.38,5.89,False,sh603730,1.5289
20251110,57.76,3.167,-10.98,55.99,False,sh688648,1.76
20251020,8.68,1.9543,9.22,8.51,False,sh688285,1.0235
20250627,31.28,0.1162,-1.53,31.24,False,sh688078,1.2802
20240801,3.15,0.4843,0.63,3.14,False,sh600339,1.0443
20240926,3.33,1.6791,1.29,3.27,False,sh900905,1.6943
20240927,4.86,0.7322,0.82,4.83,False,sh603101,1.3943
20240930,4.64,9.0759,-2.8,4.25,False,sh600610,2.538
20240927,2.38,0.4384,2.53,2.36,False,sh601388,2.1775
20251124,37.56,2.9055,1.28,36.5,False,sh688551,1.3298
20250804,84.1,2.5576,2.38,82.0,False,sh688036,3.0037
20240930,2.95,7.262,-4.75,2.75,False,sh601908,4.6372
20251212,66.28,1.3432,2.41,65.4,False,sh603087,1.5169
20241101,12.42,1.537,0.48,12.23,False,sh600377,0.8855
20240926,16.64,1.1316,16.29,16.45,False,sh600521,1.8831
20250624,8.4,3.3602,2.5,8.13,False,sh688660,1.7105
20250929,6.61,4.3121,9.23,6.34,False,sh688033,1.2526
20240927,1345.11,3.8816,4.58,1294.85,False,sh000853,1.8945
20260206,25.9,2.2897,-4.32,25.32,False,sh603978,1.0695
20260401,83.9,3.1563,4.15,81.33,False,sh688800,0.6343
20250724,25.3,1.8026,-2.25,24.85,False,sh688349,2.1258
20240930,3.62,7.0834,3.31,3.38,False,sh600792,5.5719
20251024,7.94,0.3232,12.97,7.91,False,sh688280,0.7171
20240902,2.66,2.7126,-1.13,2.59,False,sh600008,2.771
20240731,4.44,8.0545,-12.15,4.11,False,sh600638,5.4156
20240903,1.52,0.1263,-3.95,1.52,False,sh600462,2.1723
20251021,11.48,2.2262,1.66,11.23,False,sh688579,1.4653
20240926,39.43,6.1884,16.79,37.13,False,sh601689,1.3503
20250901,81.13,1.0288,1.57,80.3,False,sh688050,1.4674
20240930,3.5,6.192,-4.86,3.3,False,sh601113,5.1981
20240930,7.31,5.4682,-2.74,6.93,False,sh603167,5.8371
20260204,71.46,3.389,-4.11,69.12,False,sh688399,0.3745
20250711,13.09,0.6149,-1.07,13.01,False,sh605577,1.0269
20240926,7.36,3.5101,9.24,7.11,False,sh600742,2.5644
20251124,13.62,4.4265,8.44,13.04,False,sh688403,0.9305
20251027,29.26,0.7319,-0.34,29.05,False,sh603052,0.7752
20240801,11.92,0.9115,-2.85,11.81,False,sh601069,0.842
20240902,10.32,1.265,-7.56,10.19,False,sh603787,2.397
20240731,18.0,2.7477,0.06,17.52,False,sh600096,1.1592
20240927,9.8,1.2527,6.22,9.68,False,sh603519,3.3736
20240925,18.78,0.9681,16.35,18.6,False,sh601877,1.4344
20250804,46.9,0.0135,3.05,46.89,False,sh688080,0.6178
20251014,18.23,0.0594,0.93,18.22,False,sh601838,1.9168
20240930,6.58,7.1036,-2.13,6.14,False,sh603803,3.6547
20240826,7.76,0.9913,3.61,7.68,False,sh600415,1.838
20260401,70.43,0.0056,5.61,70.43,False,sh688233,1.041
20260325,20.3,0.3952,4.24,20.22,False,sh603282,0.522
20240926,6.37,1.3444,13.97,6.29,False,sh603528,1.0854
20240920,2.0,0.3428,32.0,1.99,True,sh600239,2.1715
20240819,24.15,3.3435,-6.13,23.37,False,sh603186,5.0336
20241008,14.09,0.7331,-15.62,13.98,False,sh603566,4.1172
20241008,17.14,7.3508,-12.02,15.97,False,sh601808,4.3817
20250905,42.27,2.6711,0.57,41.17,False,sh688136,0.8412
20240812,6.13,2.4455,3.75,5.98,False,sh600213,0.721
20240926,4.22,0.7521,9.95,4.19,False,sh603001,1.3904
20251124,58.91,0.005,2.85,58.91,False,sh688155,0.7036
20240731,3.46,0.6676,-1.44,3.44,False,sh600120,2.5944
20240806,11.36,1.1066,-2.11,11.24,False,sh600773,0.6989
