breakthrough_date,breakthrough_price,consolidation_amplitude,final_gain,success,ts_code,volatility_shrink_ratio
20240927,13.45,11.8,1.26,False,sh603035,0.967
20240902,3.42,15.31,1.75,False,sh600243,0.8278
20250716,52.13,12.06,6.37,False,sh688698,0.3929
20240920,4.32,22.32,7.17,False,sh600410,0.2781
20240927,8.5,12.74,-1.06,False,sh600597,3.5778
20250716,30.15,9.68,-0.3,False,sh688448,0.4295
20250624,61.81,9.4,7.57,False,sh688581,3.006
20250805,35.75,10.45,6.41,False,sh688255,0.5328
20240807,5.85,11.52,-1.54,False,sh600969,0.6654
20240806,13.92,23.59,1.36,False,sh600114,2.6538
20240930,5307.28,15.66,-3.27,False,sh000132,4.3786
20240927,1.92,15.42,0.52,False,sh601996,4.8695
20250701,86.6,20.66,-4.28,False,sh688361,1.9244
20240912,3.51,9.72,-2.28,False,sh600020,1.5922
20240930,7.92,15.21,1.89,False,sh600673,2.4047
20240731,5.89,6.81,0.17,False,sh601222,1.0005
20240930,28.89,14.88,-4.64,False,sh600547,1.065
20240926,4731.33,16.03,8.63,False,sh000006,2.111
20250630,66.21,10.15,-0.74,False,sh688606,0.5509
20240927,7.96,15.17,1.0,False,sh603898,4.32
20240926,5.24,11.56,8.77,False,sh600509,1.3724
20240910,10.58,18.57,-1.32,False,sh603218,1.8728
20240927,2.65,9.94,2.26,False,sh600293,4.2276
20250819,5.92,8.69,3.38,False,sh603730,0.5794
20251110,57.76,26.77,-10.98,False,sh688648,0.9719
20251020,8.68,10.41,9.22,False,sh688285,0.7516
20250627,31.28,9.26,-1.53,False,sh688078,1.6944
20240801,3.15,9.3,0.63,False,sh600339,1.5665
20240926,3.33,8.59,1.29,False,sh900905,1.9004
20240927,4.86,11.91,0.82,False,sh603101,1.2564
20240930,4.64,28.72,-2.8,False,sh600610,5.593
20240927,2.38,13.3,2.53,False,sh601388,2.9637
20251124,37.56,23.22,1.28,False,sh688551,1.9676
20250804,84.1,8.69,2.38,False,sh688036,1.3019
20240930,2.95,27.03,-4.75,False,sh601908,3.6899
20251212,66.28,12.3,2.41,False,sh603087,0.5194
20241101,12.42,24.49,0.48,False,sh600377,0.3149
20240926,16.64,11.53,16.29,False,sh600521,1.0176
20250624,8.4,15.66,2.5,False,sh688660,1.3722
20250929,6.61,18.55,9.23,False,sh688033,0.9872
20240927,1345.11,11.05,4.58,False,sh000853,2.4842
20260206,25.9,15.21,-4.32,False,sh603978,0.8031
20260401,83.9,23.94,4.15,False,sh688800,1.5491
20250724,25.3,7.35,-2.25,False,sh688349,0.6094
20240930,3.62,14.67,3.31,False,sh600792,3.209
20251024,7.94,23.72,12.97,False,sh688280,1.0128
20240902,2.66,7.89,-1.13,False,sh600008,1.4772
20240731,4.44,15.11,-12.15,False,sh600638,1.0381
20240903,1.52,23.1,-3.95,False,sh600462,1.072
20251021,11.48,16.37,1.66,False,sh688579,1.0652
20240926,39.43,22.8,16.79,False,sh601689,0.5276
20250901,81.13,11.62,1.57,False,sh688050,0.9044
20240930,3.5,14.11,-4.86,False,sh601113,3.031
20240930,7.31,21.36,-2.74,False,sh603167,3.1484
20260204,71.46,40.67,-4.11,False,sh688399,1.6678
20250711,13.09,10.52,-1.07,False,sh605577,0.6723
20240926,7.36,12.58,9.24,False,sh600742,3.3677
20251124,13.62,39.71,8.44,False,sh688403,0.9913
20251027,29.26,21.19,-0.34,False,sh603052,0.623
20240801,11.92,17.18,-2.85,False,sh601069,1.1724
20240902,10.32,13.08,-7.56,False,sh603787,1.9738
20240731,18.0,16.21,0.06,False,sh600096,1.3701
20240927,9.8,30.14,6.22,False,sh603519,4.9747
20240925,18.78,12.03,16.35,False,sh601877,0.2897
20250804,46.9,10.81,3.05,False,sh688080,0.9315
20251014,18.23,9.07,0.93,False,sh601838,0.5016
20240930,6.58,16.29,-2.13,False,sh603803,1.6894
20240826,7.76,10.69,3.61,False,sh600415,2.6908
20260401,70.43,29.55,5.61,False,sh688233,1.6239
20260325,20.3,26.18,4.24,False,sh603282,2.6289
20240926,6.37,13.48,13.97,False,sh603528,2.7626
20240920,2.0,8.56,32.0,True,sh600239,1.5134
20240819,24.15,22.39,-6.13,False,sh603186,2.0581
20241008,14.09,30.85,-15.62,False,sh603566,3.4681
20241008,17.14,22.26,-12.02,False,sh601808,1.5518
20250905,42.27,18.25,0.57,False,sh688136,1.0939
20240812,6.13,12.69,3.75,False,sh600213,1.8788
20240926,4.22,10.89,9.95,False,sh603001,1.3653
20251124,58.91,17.06,2.85,False,sh688155,0.7528
20240731,3.46,9.86,-1.44,False,sh600120,1.4855
20240806,11.36,14.65,-2.11,False,sh600773,1.1816
20251218,18.23,16.32,-2.19,False,sh601059,0.84
20250630,41.25,9.89,-2.79,False,sh688261,1.5462
20240731,9.12,28.66,3.73,False,sh600894,0.5647
20250714,31.89,14.65,-3.29,False,sh603063,0.8724
20240926,7440.93,8.81,12.83,False,sh000148,2.5289
20240731,10.2,14.82,2.25,False,sh603998,1.095
20240925,7.74,12.11,16.91,False,sh600827,1.2446
20240826,7.74,26.19,-11.5,False,sh603118,2.8766
20250813,11.42,5.6,-3.5,False,sh688548,0.9304
20240927,9.59,15.87,4.38,False,sh600200,2.4989
20240731,9.22,16.2,3.15,False,sh600573,0.3899
20260113,27.55,14.33,-2.29,False,sh603683,0.6957
20240731,3.6,8.22,-1.94,False,sh601216,2.33
20250729,73.0,8.88,-0.26,False,sh688798,2.2998
20240812,36.06,12.65,2.91,False,sh601088,1.5185
20240912,10.95,12.34,0.0,False,sh603881,0.9149
20251015,52.97,16.06,12.46,False,sh688336,1.7513
20240927,3.61,28.31,0.28,False,sh600624,0.3949
20250710,8.1,8.78,2.59,False,sh603387,0.4928
20250924,6.12,19.14,-1.31,False,sh603880,1.5896
20240731,5.24,13.88,-3.63,False,sh600497,1.4275
20250717,17.25,11.93,2.2,False,sh688378,0.4341
20251126,24.53,15.89,1.3,False,sh601089,1.4559
20240923,18.4,14.59,8.75,False,sh600988,0.5763
20240930,14.47,24.02,-3.73,False,sh600072,0.8771
20260105,35.19,9.74,-6.31,False,sh603382,0.5523
20250703,65.99,15.0,-9.09,False,sh688333,0.9318
20240926,3.42,12.3,2.64,False,sh600515,1.174
20240731,13.44,12.07,-4.46,False,sh600346,1.9676
20240930,12.97,23.83,-9.33,False,sh601717,2.0564
20260324,26.24,33.34,9.41,False,sh688350,1.2158
20250811,18.22,12.04,1.92,False,sh688299,1.8341
20240930,88.81,16.04,2.91,False,sh601127,1.7393
20240926,6.15,17.78,4.88,False,sh600325,1.0495
20250624,27.04,6.98,0.7,False,sh688819,0.3857
20240731,22.99,9.24,1.78,False,sh600196,0.7386
20241008,21.47,25.13,-13.78,False,sh603960,5.8911
20240807,5.04,11.63,1.19,False,sh601169,0.7844
20250702,1.77,7.6,4.52,False,sh601588,1.8361
20240830,0.27,37.32,-0.75,False,sh900957,0.3956
20240926,3.87,12.2,5.43,False,sh600738,0.6239
20240930,15.28,12.78,-4.71,False,sh603029,4.2173
20260105,3.5,5.37,0.86,False,sh601326,0.8512
20240930,2.7,19.01,-6.67,False,sh600396,1.6058
20240920,9.63,12.73,5.3,False,sh600776,0.7814
20250624,54.16,10.37,6.67,False,sh603486,1.2355
20240814,32.38,11.13,0.25,False,sh600211,0.3576
20240927,3.66,11.07,3.55,False,sh601789,2.8052
20250624,14.98,14.98,-1.0,False,sh688207,0.7255
20251013,14.03,7.05,1.57,False,sh603836,1.427
20240927,1841.66,11.47,3.01,False,sh000160,1.697
20240930,5.48,15.42,-5.29,False,sh603330,2.7299
20240819,6.66,19.48,-4.35,False,sh600421,1.098
20250725,28.48,7.82,-1.44,False,sh688380,1.2471
20241107,6.98,12.41,-5.01,False,sh600975,0.8557
20240926,2.54,10.47,5.89,False,sh600108,3.1123
20250722,21.8,7.45,1.97,False,sh688249,1.6976
20240918,5.33,8.02,4.32,False,sh600692,0.732
20240927,10.91,10.53,1.38,False,sh603587,3.2919
20240925,2.74,12.84,20.44,True,sh600816,2.4247
20251020,23.99,19.38,7.09,False,sh688199,2.7165
20250723,48.8,12.65,31.15,True,sh688603,0.926
20251103,8.08,5.4,0.99,False,sh601921,2.4318
20240926,4.34,21.16,1.61,False,sh600858,6.6656
20240821,3.54,54.74,-9.04,False,sh600676,0.2738
20251216,6.14,13.67,-2.12,False,sh600874,0.6339
20250721,39.64,11.41,0.15,False,sh603082,0.7587
20240927,11.96,11.46,3.85,False,sh600372,1.9105
20240927,48.44,30.16,-10.92,False,sh603979,2.7511
20240802,8.75,18.45,-6.0,False,sh600615,1.3272
20250702,8.35,6.56,1.44,False,sh603105,2.3069
20240731,15.94,10.88,-3.14,False,sh600875,0.8078
20251215,18.68,14.99,-0.32,False,sh603231,0.6487
20250806,69.49,12.69,-1.71,False,sh603662,0.4242
