benchmark_gain,breakthrough_date,breakthrough_price,final_gain,rs_diff,stock_gain,success,ts_code
5.69,20240927,13.45,1.26,5.77,1.26,False,sh603035
-2.65,20240902,3.42,1.75,-5.6,1.75,False,sh600243
0.0,20250716,52.13,6.37,11.77,6.37,False,sh688698
12.53,20240920,4.32,7.17,-1.96,7.17,False,sh600410
5.69,20240927,8.5,-1.06,3.77,-1.06,False,sh600597
0.0,20250716,30.15,-0.3,6.88,-0.3,False,sh688448
0.82,20250624,61.81,7.57,-2.26,7.57,False,sh688581
0.0,20250805,35.75,6.41,7.23,6.41,False,sh688255
-0.67,20240807,5.85,-1.54,12.94,-1.54,False,sh600969
0.02,20240806,13.92,1.36,2.89,1.36,False,sh600114
5.69,20240927,1.92,0.52,5.79,0.52,False,sh601996
0.0,20250701,86.6,-4.28,15.82,-4.28,False,sh688361
1.17,20240912,3.51,-2.28,-24.83,-2.28,False,sh600020
-4.05,20240930,7.92,1.89,14.72,1.89,False,sh600673
-2.35,20240731,5.89,0.17,5.18,0.17,False,sh601222
-4.05,20240930,28.89,-4.64,1.73,-4.64,False,sh600547
0.0,20250630,66.21,-0.74,6.64,-0.74,False,sh688606
5.69,20240927,7.96,1.0,2.56,1.0,False,sh603898
10.03,20240926,5.24,8.77,-5.27,8.77,False,sh600509
-0.3,20240910,10.58,-1.32,-6.04,-1.32,False,sh603218
5.69,20240927,2.65,2.26,1.94,2.26,False,sh600293
0.0,20250819,5.92,3.38,0.17,3.38,False,sh603730
0.0,20251110,57.76,-10.98,-12.7,-10.98,False,sh688648
0.0,20251020,8.68,9.22,-1.83,9.22,False,sh688285
0.0,20250627,31.28,-1.53,3.77,-1.53,False,sh688078
-2.13,20240801,3.15,0.63,7.38,0.63,False,sh600339
10.03,20240926,3.33,1.29,-4.14,1.29,False,sh900905
5.69,20240927,4.86,0.82,-1.39,0.82,False,sh603101
-4.05,20240930,4.64,-2.8,25.59,-2.8,False,sh600610
5.69,20240927,2.38,2.53,4.59,2.53,False,sh601388
