ts_code,breakthrough_date,roe,netprofit_yoy,final_gain,success
sh603035,20240927,,,0.82,False
sh600243,20240902,,,0.0,False
sh688698,20250716,,,2.9,False
sh600410,20240920,,,16.66,False
sh600597,20240927,,,-3.18,False
sh688448,20250716,,,17.68,False
sh688581,20250624,,,2.96,False
sh688255,20250805,,,2.21,False
sh600969,20240807,,,-11.11,False
sh600114,20240806,,,3.74,False
sh000132,20240930,,,-2.36,False
sh601996,20240927,,,1.56,False
sh688361,20250701,,,-6.89,False
sh600020,20240912,,,15.67,False
sh600673,20240930,,,-2.15,False
sh601222,20240731,,,0.51,False
sh600547,20240930,,,-1.49,False
sh000006,20240926,,,8.65,False
sh688606,20250630,,,0.54,False
sh603898,20240927,,,3.27,False
sh600509,20240926,,,9.34,False
sh603218,20240910,,,1.7,False
sh600293,20240927,,,4.53,False
sh603730,20250819,,,-2.03,False
sh688648,20251110,,,-13.63,False
sh688285,20251020,,,7.14,False
sh688078,20250627,,,4.03,False
sh600339,20240801,,,4.44,False
sh900905,20240926,,,2.55,False
sh603101,20240927,,,5.35,False
sh600610,20240930,,,-2.16,False
sh601388,20240927,,,5.89,False
sh688551,20251124,,,3.89,False
sh688036,20250804,,,-2.73,False
sh601908,20240930,,,-6.1,False
sh603087,20251212,,,3.03,False
sh600377,20241101,,,3.22,False
sh600521,20240926,,,7.09,False
sh688660,20250624,,,3.81,False
sh688033,20250929,,,7.11,False
sh000853,20240927,,,4.27,False
sh603978,20260206,,,-1.81,False
sh688800,20260401,,,15.24,False
sh688349,20250724,,,-0.91,False
sh600792,20240930,,,-3.31,False
sh688280,20251024,,,10.96,False
sh600008,20240902,,,-4.14,False
sh600638,20240731,,,-13.27,False
sh600462,20240903,,,-3.29,False
sh688579,20251021,,,6.53,False
sh601689,20240926,,,4.41,False
sh688050,20250901,,,-4.86,False
sh601113,20240930,,,-7.14,False
sh603167,20240930,,,-3.97,False
sh688399,20260204,,,-12.85,False
sh605577,20250711,,,1.38,False
sh600742,20240926,,,1.49,False
sh688403,20251124,,,17.18,False
sh603052,20251027,,,20.23,True
sh601069,20240801,,,-3.1,False
sh603787,20240902,,,-8.53,False
sh600096,20240731,,,3.61,False
sh603519,20240927,,,7.86,False
sh601877,20240925,,,6.82,False
sh688080,20250804,,,9.3,False
sh601838,20251014,,,-0.66,False
sh603803,20240930,,,1.52,False
sh600415,20240826,,,7.09,False
sh688233,20260401,,,5.59,False
sh603282,20260325,,,1.77,False
sh603528,20240926,,,11.93,False
sh600239,20240920,,,49.0,True
sh603186,20240819,,,0.91,False
sh603566,20241008,,,-12.64,False
sh601808,20241008,,,-11.26,False
sh688136,20250905,,,-0.92,False
sh600213,20240812,,,3.75,False
sh603001,20240926,,,7.11,False
sh688155,20251124,,,4.02,False
sh600120,20240731,,,-1.44,False
sh600773,20240806,,,0.18,False
sh601059,20251218,,,-2.41,False
sh688261,20250630,,,0.58,False
sh600894,20240731,,,3.18,False
sh603063,20250714,,,-7.28,False
sh000148,20240926,,,6.77,False
sh603998,20240731,,,3.53,False
sh600827,20240925,,,7.36,False
sh603118,20240826,,,-18.48,False
sh688548,20250813,,,-4.9,False
sh600200,20240927,,,9.49,False
sh600573,20240731,,,4.77,False
sh603683,20260113,,,-0.76,False
sh601216,20240731,,,-0.83,False
sh688798,20250729,,,2.23,False
sh601088,20240812,,,2.91,False
sh603881,20240912,,,21.6,True
sh688336,20251015,,,16.46,False
sh600624,20240927,,,7.2,False
sh603387,20250710,,,5.68,False
sh603880,20250924,,,0.0,False
sh600497,20240731,,,-5.72,False
sh688378,20250717,,,4.0,False
sh601089,20251126,,,1.22,False
sh600988,20240923,,,2.39,False
sh600072,20240930,,,-5.87,False
sh603382,20260105,,,-8.53,False
sh688333,20250703,,,-3.68,False
sh600515,20240926,,,-3.51,False
sh600346,20240731,,,-6.4,False
sh601717,20240930,,,-11.72,False
sh688350,20260324,,,9.49,False
sh688299,20250811,,,4.83,False
sh601127,20240930,,,-0.05,False
sh600325,20240926,,,6.34,False
sh688819,20250624,,,0.92,False
sh600196,20240731,,,0.13,False
sh603960,20241008,,,-8.85,False
sh601169,20240807,,,3.17,False
sh601588,20250702,,,1.69,False
sh900957,20240830,,,-0.37,False
sh600738,20240926,,,1.81,False
sh603029,20240930,,,-2.36,False
sh601326,20260105,,,-1.43,False
sh600396,20240930,,,-9.26,False
sh600776,20240920,,,7.06,False
sh603486,20250624,,,3.62,False
sh600211,20240814,,,0.09,False
sh601789,20240927,,,6.56,False
sh688207,20250624,,,-2.34,False
sh603836,20251013,,,6.2,False
sh000160,20240927,,,2.18,False
