ts_code,breakthrough_date,breakthrough_price,ma120_at_breakthrough,held_p0,held_ma120,held_p0_days,held_ma120_days,min_deviation_p0,min_deviation_ma,broke_p0_count,broke_ma_count,max_gain,final_gain,success
sh603035,20240927,13.45,12.95,False,False,108,113,-3.94,-2.86,12,7,16.28,6.69,False
sh600243,20240902,3.42,3.32,False,False,91,74,-18.13,-29.37,29,46,77.49,-15.2,False
sh688698,20250716,52.13,50.88,False,True,118,120,-1.71,0.0,2,0,99.21,99.21,True
sh600410,20240920,4.32,4.25,True,True,120,120,0.0,0.0,0,0,183.21,104.33,True
sh600597,20240927,8.5,8.05,False,False,39,73,-7.88,-4.51,81,47,15.29,-3.18,False
sh688448,20250716,30.15,29.82,False,False,119,114,-0.3,-4.43,1,6,116.09,68.39,True
sh688581,20250624,61.81,61.37,False,False,95,72,-7.13,-17.78,25,48,42.27,-6.0,False
sh688255,20250805,35.75,35.73,False,False,68,77,-13.29,-11.69,52,43,15.52,-3.86,False
sh600969,20240807,5.85,5.48,False,False,86,74,-13.16,-8.19,34,46,28.21,4.62,False
sh600114,20240806,13.92,13.89,False,False,112,101,-6.32,-7.56,8,19,46.48,43.97,True
sh000132,20240930,5307.28,4818.23,False,True,28,120,-8.4,0.0,92,0,6.91,1.01,False
sh601996,20240927,1.92,1.86,True,False,120,74,0.0,-5.27,0,46,49.48,9.38,False
sh688361,20250701,86.6,85.71,False,False,94,100,-7.1,-5.72,26,20,86.26,81.06,True
sh600020,20240912,3.51,3.5,False,False,116,95,-2.56,-4.02,4,25,19.09,14.53,False
sh600673,20240930,7.92,7.33,False,True,111,120,-4.29,0.0,9,0,63.51,27.15,True
sh601222,20240731,5.89,5.75,False,False,115,109,-2.21,-4.43,5,11,27.85,15.71,False
sh600547,20240930,28.89,28.32,False,False,0,20,-22.78,-15.68,120,100,0.0,-11.39,False
sh000006,20240926,4731.33,4425.32,False,False,64,63,-5.68,-9.36,56,57,21.8,-5.68,False
sh688606,20250630,66.21,65.98,False,False,87,72,-6.65,-9.31,33,48,15.81,-4.99,False
sh603898,20240927,7.96,7.79,True,True,120,120,0.0,0.0,0,0,34.41,22.98,True
sh600509,20240926,5.24,5.21,True,False,120,107,0.0,-4.72,0,13,49.0,24.21,True
sh603218,20240910,10.58,10.44,False,False,113,114,-4.25,-2.75,7,6,29.95,20.03,True
sh600293,20240927,2.65,2.6,True,False,120,103,0.0,-6.9,0,17,50.94,10.94,False
sh603730,20250819,5.92,5.89,False,False,108,113,-3.38,-2.42,12,7,95.1,88.01,True
sh688648,20251110,57.76,55.99,False,False,57,44,-15.18,-15.64,47,60,24.52,-8.54,False
sh688285,20251020,8.68,8.51,False,False,98,73,-9.79,-14.19,21,46,13.94,0.0,False
sh688078,20250627,31.28,31.24,False,False,53,47,-15.76,-15.87,67,73,14.51,-13.27,False
sh600339,20240801,3.15,3.14,False,False,99,91,-11.42,-11.43,21,29,21.89,6.98,False
sh900905,20240926,3.33,3.27,False,False,32,78,-4.78,-2.51,88,42,7.78,-0.33,False
sh603101,20240927,4.86,4.83,True,False,120,106,0.0,-8.48,0,14,106.15,40.32,True
sh600610,20240930,4.64,4.25,False,False,60,75,-15.3,-11.7,60,45,151.29,87.07,True
sh601388,20240927,2.38,2.36,False,False,107,79,-2.32,-5.66,13,41,26.32,2.32,False
sh688551,20251124,37.56,36.5,False,False,77,63,-3.54,-5.18,17,31,30.46,25.21,True
sh688036,20250804,84.1,82.0,False,False,30,45,-28.05,-22.48,90,75,22.71,-28.05,False
sh601908,20240930,2.95,2.75,False,False,52,66,-12.2,-12.34,68,54,28.81,-10.17,False
sh603087,20251212,66.28,65.4,False,False,34,31,-15.21,-16.61,46,49,9.88,-1.7,False
sh600377,20241101,12.42,12.23,False,False,116,117,-1.93,-1.26,4,3,23.91,18.76,False
sh600521,20240926,16.64,16.45,False,False,66,59,-11.84,-15.52,54,61,18.99,-7.75,False
sh688660,20250624,8.4,8.13,False,False,119,112,-0.6,-6.71,1,8,204.29,90.12,True
sh688033,20250929,6.61,6.34,False,False,106,103,-17.25,-18.12,14,17,83.06,24.21,True
sh000853,20240927,1345.11,1294.85,False,False,76,96,-3.62,-1.75,44,24,14.17,-0.25,False
sh603978,20260206,25.9,25.32,False,False,6,4,-13.98,-16.77,36,38,6.25,-2.7,False
sh688800,20260401,83.9,81.33,False,True,9,12,-2.26,0.0,3,0,16.81,15.27,False
sh688349,20250724,25.3,24.85,False,False,110,82,-2.25,-8.42,10,38,28.42,8.38,False
