breakthrough_date,breakthrough_price,broke_ma_count,broke_p0_count,final_gain,held_ma120,held_ma120_days,held_p0,held_p0_days,ma120_at_breakthrough,max_gain,min_deviation_ma,min_deviation_p0,success,ts_code
20240927,13.45,0,3,0.82,True,10,False,7,12.95,16.28,0.0,-2.08,False,sh603035
20240902,3.42,0,0,0.0,True,10,True,10,3.32,5.56,0.0,0.0,False,sh600243
20250716,52.13,0,0,2.9,True,10,True,10,50.88,7.81,0.0,0.0,False,sh688698
20240920,4.32,0,0,16.66,True,10,True,10,4.25,30.53,0.0,0.0,False,sh600410
20240927,8.5,0,8,-3.18,True,10,False,2,8.05,7.76,0.0,-4.94,False,sh600597
20250716,30.15,0,1,17.68,True,10,False,9,29.82,17.68,0.0,-0.3,False,sh688448
20250624,61.81,0,0,2.96,True,10,True,10,61.37,7.57,0.0,0.0,False,sh688581
20250805,35.75,0,0,2.21,True,10,True,10,35.73,7.3,0.0,0.0,False,sh688255
20240807,5.85,4,10,-11.11,False,6,False,0,5.48,0.0,-5.94,-11.11,False,sh600969
20240806,13.92,2,0,3.74,False,8,True,10,13.89,6.9,-0.44,0.0,False,sh600114
20240930,5307.28,0,9,-2.36,True,10,False,1,4818.23,6.91,0.0,-6.97,False,sh000132
20240927,1.92,0,0,1.56,True,10,True,10,1.86,12.5,0.0,0.0,False,sh601996
20250701,86.6,10,10,-6.89,False,0,False,0,85.71,0.0,-5.72,-6.89,False,sh688361
20240912,3.51,4,4,15.67,False,6,False,6,3.5,15.67,-2.37,-2.56,False,sh600020
20240930,7.92,0,6,-2.15,True,10,False,4,7.33,3.54,0.0,-4.29,False,sh600673
20240731,5.89,1,5,0.51,False,9,False,5,5.75,1.19,-0.32,-2.21,False,sh601222
20240930,28.89,8,10,-1.49,False,2,False,0,28.32,0.0,-6.2,-8.24,False,sh600547
20240926,4731.33,0,0,8.65,True,10,True,10,4425.32,15.6,0.0,0.0,False,sh000006
20250630,66.21,8,8,0.54,False,2,False,2,65.98,0.54,-1.78,-1.66,False,sh688606
20240927,7.96,0,0,3.27,True,10,True,10,7.79,10.05,0.0,0.0,False,sh603898
20240926,5.24,0,0,9.34,True,10,True,10,5.21,14.3,0.0,0.0,False,sh600509
20240910,10.58,3,7,1.7,False,7,False,3,10.44,1.7,-2.75,-4.25,False,sh603218
20240927,2.65,0,0,4.53,True,10,True,10,2.6,14.72,0.0,0.0,False,sh600293
20250819,5.92,2,2,-2.03,False,8,False,8,5.89,3.55,-2.42,-3.38,False,sh603730
20251110,57.76,10,10,-13.63,False,0,False,0,55.99,0.0,-12.92,-15.18,False,sh688648
