added_count,avg_cost,entry_date,entry_price,exit_reason,exited,final_gain,highest_price,last_price,shares,ts_code
0,36.89,20251020,36.89,死叉减半,False,2.14,37.68,37.68,50,sh688255
2,16.51,20240927,14.7,死叉减半,False,1.49,19.01,16.76,150,sh600114
0,9.09,20260325,9.09,死叉减半,False,-13.09,9.09,7.9,50,sh600509
0,3.21,20250721,3.21,死叉减半,False,5.92,3.4,3.4,50,sh600293
0,67.07,20260310,67.07,死叉减半,False,-21.23,67.07,52.83,50,sh688648
0,47.34,20260324,47.34,观察期末,False,-0.65,47.34,47.03,100,sh688551
0,1.51,20241231,1.51,死叉减半,False,-1.99,1.56,1.48,50,sh600462
0,10.03,20260324,10.03,死叉减半,False,4.09,10.44,10.44,50,sh600742
6,17.26,20250409,13.04,观察期末,False,9.67,21.91,18.93,700,sh600415
1,9.78,20251219,9.02,死叉减半,False,-3.68,10.44,9.42,150,sh603001
2,13.89,20250226,12.57,观察期末,False,10.39,15.43,15.33,300,sh601717
0,5.55,20251030,5.55,死叉减半,False,-4.68,5.81,5.29,50,sh601789
0,3.07,20251010,3.07,死叉减半,False,4.23,3.34,3.2,50,sh600108
0,6.19,20260324,6.19,死叉减半,False,-1.94,6.49,6.07,50,sh600874
0,28.76,20260317,28.76,死叉减半,False,6.64,31.02,30.67,50,sh688107
1,5.92,20260324,5.57,死叉减半,False,5.99,6.38,6.28,100,sh601068
3,20.11,20251127,16.9,死叉减半,False,-11.24,22.55,17.85,350,sh688560
0,16.02,20260306,16.02,死叉减半,False,-7.3,17.35,14.85,50,sh603182
0,6.7,20260325,6.7,观察期末,False,-9.55,6.95,6.06,100,sh600125
2,5.72,20250519,5.01,死叉减半,False,11.23,6.42,6.36,250,sh600510
1,5.04,20251219,4.77,观察期末,False,-6.26,5.59,4.72,200,sh600320
3,5.64,20250526,4.78,观察期末,False,16.67,6.58,6.58,400,sh600869
1,3.5,20250804,3.26,观察期末,False,8.0,3.89,3.78,200,sh600725
0,21.6,20250408,21.6,死叉减半,False,-6.55,23.72,20.19,50,sh603100
0,28.48,20260312,28.48,死叉减半,False,-6.07,28.48,26.75,50,sh603235
0,47.84,20260316,47.84,死叉减半,False,5.92,51.05,50.67,50,sh603283
0,9.1,20251103,9.1,死叉减半,False,-5.82,9.23,8.57,50,sh605377
1,11.73,20250717,11.15,死叉减半,False,0.34,13.0,11.77,100,sh603567
0,6.1,20260408,6.1,死叉减半,False,6.56,6.5,6.5,50,sh603335
