last_trade_date,today_close,prev_n_days,prev_n_max_high,n_day_high_break,ma120_breakthrough_date,price_at_ma120_segment_start,growth_pct_ma120_start_to_today,days_since_ma120_segment,ts_code
20260420,67.57,20,66.52,True,20260403,51.22,31.9211,11,688146
20260420,36.6,20,35.48,True,20260403,29.85,22.6131,11,300747
20260420,35.81,20,35.35,True,20260403,30.9,15.89,11,688010
20260420,31.74,20,28.9,True,20260401,24.4,30.082,13,003023
20260420,12.91,20,12.88,True,20260401,11.68,10.5308,13,603010
20260420,48.98,20,48.72,True,20260401,41.39,18.3378,13,605100
20260420,12.4,20,12.26,True,20260401,10.16,22.0472,13,603458
20260420,13.25,20,13.23,True,20260401,12.29,7.8112,13,002579
20260420,13.73,20,13.3,True,20260401,12.36,11.0841,13,300592
20260420,24.44,20,22.57,True,20260331,18.41,32.7539,14,600184
20260420,41.81,20,40.38,True,20260330,35.55,17.609,15,300762
20260420,7.15,20,7.01,True,20260330,6.39,11.8936,15,600724
20260420,86.73,20,85.48,True,20260330,47.83,81.3297,15,688677
20260420,16.04,20,15.96,True,20260327,13.85,15.8123,16,603303
20260420,19.48,20,19.36,True,20260327,16.73,16.4375,16,603132
20260420,28.41,20,28.33,True,20260327,23.55,20.6369,16,001230
20260420,12.44,20,12.29,True,20260326,11.0,13.0909,17,300254
20260420,38.25,20,37.28,True,20260326,24.11,58.6479,17,688163
20260420,9.74,20,9.67,True,20260326,8.35,16.6467,17,601886
20260420,7.26,20,6.94,True,20260325,5.44,33.4559,18,002692
20260420,21.47,20,19.95,True,20260325,18.29,17.3866,18,600872
20260417,56.02,20,54.88,True,20260325,50.75,10.3842,17,300807
20260420,17.91,20,17.39,True,20260325,13.1,36.7176,18,002203
20260420,8.47,20,7.91,True,20260324,6.89,22.9318,15,002686
20260420,16.12,20,15.89,True,20260324,13.14,22.6788,19,300700
20260420,26.09,20,25.1,True,20260324,22.85,14.1794,19,688129
20260420,31.24,20,28.99,True,20260324,20.27,54.1194,19,605222
20260420,42.61,20,41.79,True,20260324,34.17,24.7,19,301295
20260420,14.39,20,14.28,True,20260324,13.19,9.0978,19,301059
20260420,20.75,20,20.36,True,20260324,17.82,16.4422,19,300447
20260420,76.0,20,74.9,True,20260324,45.0,68.8889,19,300489
20260420,66.95,20,66.54,True,20260324,49.91,34.1415,19,301387
20260420,20.77,20,20.5,True,20260324,19.16,8.4029,19,603515
20260420,15.27,20,15.0,True,20260324,9.59,59.2284,19,002560
20260420,60.86,20,59.7,True,20260324,53.49,13.7783,19,301169
20260420,8.76,20,8.74,True,20260324,8.22,6.5693,19,002966
20260420,44.03,20,42.6,True,20260324,30.63,43.748,19,688450
20260420,39.8,20,37.5,True,20260324,30.38,31.0072,19,603285
20260420,24.12,20,23.7,True,20260324,20.13,19.8212,19,688355
