breakthrough_date,breakthrough_price,final_gain,is_premium,ma_proximity,multi_ma_bullish,new_high,success,ts_code,volume_surge
20240927,13.45,0.82,False,False,False,True,False,sh603035,False
20240902,3.42,0.0,False,False,False,True,False,sh600243,True
20250716,52.13,2.9,False,False,False,True,False,sh688698,True
20240920,4.32,16.66,False,False,False,True,False,sh600410,True
20240927,8.5,-3.18,False,False,False,True,False,sh600597,True
20250716,30.15,17.68,False,False,False,True,False,sh688448,True
20250624,61.81,2.96,False,True,False,False,False,sh688581,False
20250805,35.75,2.21,False,False,False,True,False,sh688255,True
20240807,5.85,-11.11,False,False,False,True,False,sh600969,True
20240806,13.92,3.74,False,False,True,False,False,sh600114,False
20240930,5307.28,-2.36,False,False,False,True,False,sh000132,True
20240927,1.92,1.56,False,False,False,True,False,sh601996,False
20250701,86.6,-6.89,False,False,False,True,False,sh688361,False
20240912,3.51,15.67,False,False,False,False,False,sh600020,False
20240930,7.92,-2.15,False,False,False,True,False,sh600673,True
20240731,5.89,0.51,False,True,False,False,False,sh601222,False
20240930,28.89,-1.49,False,False,False,True,False,sh600547,True
20240926,4731.33,8.65,False,False,False,True,False,sh000006,True
20250630,66.21,0.54,False,False,False,False,False,sh688606,False
20240927,7.96,3.27,False,False,False,True,False,sh603898,False
20240926,5.24,9.34,False,False,False,True,False,sh600509,False
20240910,10.58,1.7,False,False,False,True,False,sh603218,False
20240927,2.65,4.53,False,False,False,True,False,sh600293,True
20250819,5.92,-2.03,False,False,False,True,False,sh603730,False
20251110,57.76,-13.63,False,False,False,False,False,sh688648,False
20251020,8.68,7.14,False,False,False,False,False,sh688285,False
20250627,31.28,4.03,False,False,False,True,False,sh688078,False
20240801,3.15,4.44,False,False,False,True,False,sh600339,False
20240926,3.33,2.55,False,False,False,True,False,sh900905,False
20240927,4.86,5.35,False,False,False,True,False,sh603101,False
20240930,4.64,-2.16,False,False,False,True,False,sh600610,True
20240927,2.38,5.89,False,False,False,True,False,sh601388,True
20251124,37.56,3.89,False,False,False,False,False,sh688551,False
20250804,84.1,-2.73,False,False,False,True,False,sh688036,True
20240930,2.95,-6.1,False,False,False,True,False,sh601908,True
20251212,66.28,3.03,False,False,False,False,False,sh603087,False
20241101,12.42,3.22,False,False,False,False,False,sh600377,False
20240926,16.64,7.09,False,False,False,False,False,sh600521,False
20250624,8.4,3.81,False,False,False,False,False,sh688660,False
20250929,6.61,7.11,False,False,False,False,False,sh688033,False
20240927,1345.11,4.27,False,False,False,True,False,sh000853,False
20260206,25.9,-1.81,False,False,False,False,False,sh603978,False
20260401,83.9,15.24,False,False,False,False,False,sh688800,False
20250724,25.3,-0.91,False,False,False,True,False,sh688349,True
20240930,3.62,-3.31,False,False,False,True,False,sh600792,True
20251024,7.94,10.96,False,False,False,False,False,sh688280,False
20240902,2.66,-4.14,False,False,False,False,False,sh600008,True
20240731,4.44,-13.27,False,False,False,True,False,sh600638,True
20240903,1.52,-3.29,False,False,False,True,False,sh600462,True
20251021,11.48,6.53,False,False,False,False,False,sh688579,False
20240926,39.43,4.41,False,False,False,True,False,sh601689,False
20250901,81.13,-4.86,False,False,False,False,False,sh688050,False
20240930,3.5,-7.14,False,False,False,True,False,sh601113,True
20240930,7.31,-3.97,False,False,False,True,False,sh603167,True
20260204,71.46,-12.85,False,False,False,False,False,sh688399,False
20250711,13.09,1.38,False,False,False,False,False,sh605577,False
20240926,7.36,1.49,False,False,False,True,False,sh600742,True
20251124,13.62,17.18,False,False,False,False,False,sh688403,False
20251027,29.26,20.23,False,False,False,False,True,sh603052,False
20240801,11.92,-3.1,False,False,False,False,False,sh601069,False
20240902,10.32,-8.53,False,False,False,True,False,sh603787,True
