ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,recent_5d_growth
600997,20240126,20260314,20260302,6.48,6.87,6.02,10,5.75,19.48,0.15,6.02,0.0,0.0,1.84,5,4,1.25,13.8,7.63,21.43,2.84
300453,20240126,20260314,20260302,9.68,10.18,5.17,10,9.12,11.62,1.14,5.17,0.0,0.0,1.78,5,4,1.25,11.65,6.33,17.99,4.62
600674,20240126,20260314,20260302,14.79,15.72,6.29,10,13.99,12.37,3.65,6.29,0.0,0.0,2.62,6,3,2.0,9.97,3.71,13.68,-0.63
600123,20240126,20260314,20260227,6.44,7.21,11.96,11,5.94,21.38,3.88,11.34,0.0,0.0,4.18,6,4,1.5,21.39,9.45,30.83,1.69
601952,20240126,20260314,20260227,9.47,10.59,11.83,11,9.14,15.86,2.96,13.62,0.0,0.0,4.68,6,4,1.5,19.64,7.99,27.64,3.72
300332,20240126,20260314,20260227,5.69,6.19,8.79,11,5.31,16.57,15.64,10.9,0.0,0.0,6.4,4,6,0.67,30.99,20.07,51.05,-4.92
002039,20240126,20260314,20260227,18.04,19.03,5.49,11,17.99,5.78,4.38,8.81,0.0,0.0,3.52,6,4,1.5,11.31,5.78,17.09,-1.45
000531,20240126,20260314,20260226,6.65,7.16,7.67,12,6.47,10.66,1.65,8.87,0.0,0.0,2.99,7,4,1.75,15.45,7.7,23.16,0.14
603269,20240126,20260314,20260226,13.63,16.25,19.22,12,12.97,25.29,4.77,31.91,0.0,0.0,10.53,6,5,1.2,39.31,19.71,59.01,-0.31
600979,20240126,20260314,20260226,5.03,5.43,7.95,12,4.5,20.67,4.97,12.13,0.0,0.0,4.63,7,3,2.33,17.11,8.98,26.1,-2.51
300167,20240126,20260314,20260226,5.87,6.3,7.33,12,5.28,19.32,4.09,15.16,0.0,0.0,5.37,5,6,0.83,22.3,14.42,36.72,-8.96
600121,20240126,20260314,20260226,4.55,5.65,24.18,12,4.2,34.52,5.05,2.64,0.0,0.0,1.8,5,5,1.0,30.54,7.65,38.2,17.22
600483,20240126,20260314,20260226,10.15,11.04,8.77,12,9.5,16.21,0.0,6.5,0.0,0.0,1.95,7,3,2.33,11.76,3.19,14.96,6.67
600023,20240126,20260314,20260225,5.1,5.57,9.22,13,4.96,12.3,5.88,7.06,0.0,0.0,3.29,8,4,2.0,11.82,2.88,14.7,1.27
000027,20240126,20260314,20260225,6.85,7.26,5.99,13,6.56,10.67,3.07,3.5,0.0,0.0,1.66,9,2,4.5,9.21,3.29,12.5,2.69
600125,20240126,20260314,20260225,6.35,6.71,5.67,13,6.43,4.35,5.98,2.68,0.0,0.0,2.0,9,3,3.0,12.01,6.28,18.29,3.39
002608,20240126,20260314,20260225,7.94,8.58,8.06,13,7.44,15.32,3.02,6.17,0.0,0.0,2.46,8,4,2.0,13.7,5.75,19.45,4.38
002733,20240126,20260314,20260225,21.38,27.37,28.02,13,20.07,36.37,4.54,15.01,0.0,0.0,5.41,7,5,1.4,39.58,13.22,52.79,16.07
002051,20240126,20260314,20260225,8.72,9.2,5.5,13,8.68,5.99,1.83,4.13,0.0,0.0,1.6,9,3,3.0,7.28,1.87,9.15,0.0
000883,20240126,20260314,20260225,4.64,5.0,7.76,13,4.56,9.65,3.23,4.31,0.0,0.0,1.94,8,4,2.0,10.0,2.44,12.44,2.88
002843,20240126,20260314,20260225,20.88,23.37,11.93,13,20.07,16.44,38.84,28.98,0.0,0.0,16.46,6,6,1.0,45.33,31.02,76.36,-12.34
000537,20240126,20260314,20260224,8.73,12.39,41.92,14,8.32,48.92,4.12,7.67,0.0,0.0,3.12,11,2,5.5,39.0,2.5,41.5,31.81
000065,20240126,20260314,20260224,12.13,13.78,13.6,14,11.89,15.9,5.94,14.76,0.0,0.0,5.62,9,4,2.25,20.37,7.12,27.48,-1.01
600110,20240126,20260314,20260224,7.43,8.34,12.25,14,7.42,12.4,14.0,0.0,0.0,0.0,2.8,8,5,1.6,25.41,12.83,38.24,12.25
002628,20240126,20260314,20260224,4.68,5.19,10.9,14,4.11,26.28,19.02,17.31,0.0,0.0,9.0,6,7,0.86,22.15,10.99,33.14,-5.46
000543,20240126,20260314,20260224,8.02,8.89,10.85,14,8.12,9.48,10.1,8.35,0.0,0.0,4.53,8,5,1.6,19.49,8.71,28.2,2.3
002511,20240126,20260314,20260224,8.37,8.79,5.02,14,8.47,3.78,6.21,2.63,0.0,0.0,2.03,6,7,0.86,15.36,10.11,25.46,2.33
000722,20240126,20260314,20260224,12.95,13.66,5.48,14,11.95,14.31,3.47,7.18,0.0,0.0,2.85,8,5,1.6,13.55,7.96,21.51,-1.59
002274,20240126,20260314,20260224,6.43,7.19,11.82,14,5.68,26.58,4.2,5.91,0.0,0.0,2.61,8,5,1.6,20.13,8.5,28.63,5.58
300569,20240126,20260314,20260224,6.29,7.79,23.85,14,5.81,34.08,1.27,6.52,0.0,0.0,2.21,10,2,5.0,25.35,3.23,28.58,16.27
002463,20240126,20260314,20260224,72.36,81.18,12.19,14,75.95,6.89,13.14,2.53,0.0,0.0,3.39,6,7,0.86,28.26,15.46,43.72,9.42
000791,20240126,20260314,20260224,6.8,8.35,22.79,14,6.49,28.66,20.74,24.26,0.0,0.0,11.43,9,4,2.25,33.23,11.6,44.83,-1.18
600645,20240126,20260314,20260224,26.09,29.59,13.42,14,26.74,10.66,5.71,18.01,0.0,0.0,6.55,9,4,2.25,22.79,9.41,32.2,-3.9
000546,20240126,20260314,20260224,5.92,6.37,7.6,14,6.65,-4.21,8.95,5.74,0.0,0.0,3.51,8,5,1.6,20.69,12.49,33.18,1.76
600803,20240126,20260314,20260224,19.92,22.66,13.76,14,20.64,9.79,9.74,9.44,0.0,0.0,4.78,8,5,1.6,29.97,15.82,45.79,3.94
600744,20240126,20260314,20260224,6.54,8.35,27.68,14,5.99,39.4,22.02,42.51,0.0,0.0,17.16,9,4,2.25,42.46,15.97,58.43,-10.41
000544,20240126,20260314,20260224,8.67,9.17,5.77,14,8.37,9.56,6.23,4.5,0.0,0.0,2.6,9,4,2.25,11.21,5.43,16.64,1.21
600222,20240126,20260314,20260224,6.96,7.32,5.17,14,6.7,9.3,1.01,5.46,0.0,0.0,1.84,6,6,1.0,13.2,7.87,21.07,-0.27
601669,20240126,20260314,20260224,5.64,7.19,27.48,14,5.24,37.21,1.42,4.96,0.0,0.0,1.77,9,4,2.25,28.57,3.47,32.04,21.45
600540,20240126,20260314,20260224,5.0,5.4,8.0,14,4.59,17.65,8.4,7.8,0.0,0.0,4.02,6,7,0.86,22.38,13.74,36.12,0.19
000731,20240126,20260314,20260224,7.07,8.14,15.13,14,6.59,23.52,21.64,13.01,0.0,0.0,8.23,10,3,3.33,31.17,15.46,46.63,1.88
600516,20240126,20260314,20260224,5.73,6.76,17.98,14,5.69,18.8,13.79,16.4,0.0,0.0,7.68,8,4,2.0,30.08,12.44,42.52,1.35
000723,20240126,20260314,20260224,4.99,5.47,9.62,14,4.73,15.64,6.01,8.42,0.0,0.0,3.73,8,5,1.6,18.84,9.22,28.06,1.11
002221,20240126,20260314,20260224,8.55,9.43,10.29,14,8.11,16.28,9.12,2.57,0.0,0.0,2.6,5,8,0.62,30.51,18.98,49.49,7.53
000525,20240126,20260314,20260224,6.31,7.04,11.57,14,5.58,26.16,4.75,9.83,0.0,0.0,3.9,9,4,2.25,26.7,14.72,41.41,1.59
600866,20240126,20260314,20260224,7.3,8.05,10.27,14,6.96,15.66,6.71,5.34,0.0,0.0,2.94,7,6,1.17,16.84,6.65,23.49,4.68
601919,20240126,20260314,20260224,14.83,15.78,6.41,14,14.9,5.91,4.11,4.65,0.0,0.0,2.22,6,7,0.86,18.14,11.13,29.27,1.68
300080,20240126,20260314,20260224,5.26,6.08,15.59,14,5.07,19.92,2.09,7.41,0.0,0.0,2.64,8,4,2.0,21.09,6.17,27.26,7.61
000998,20240126,20260314,20260224,9.87,10.6,7.4,14,9.42,12.53,3.24,6.89,0.0,0.0,2.72,10,3,3.33,16.4,8.66,25.06,0.47
603838,20240126,20260314,20260224,7.54,9.48,25.73,14,7.51,26.23,12.33,19.36,0.0,0.0,8.27,8,5,1.6,32.39,8.66,41.05,5.33
000019,20240126,20260314,20260224,7.1,7.59,6.9,14,6.91,9.84,3.52,6.76,0.0,0.0,2.73,9,4,2.25,12.91,6.02,18.93,0.13
603218,20240126,20260314,20260224,14.01,16.65,18.84,14,13.25,25.66,1.64,2.86,0.0,0.0,1.19,10,3,3.33,21.9,4.14,26.04,15.54
600509,20240126,20260314,20260224,8.5,9.9,16.47,14,8.39,18.0,8.0,6.35,0.0,0.0,3.5,10,3,3.33,20.07,4.49,24.56,9.51
000988,20240126,20260314,20260224,82.42,118.69,44.01,14,81.93,44.87,15.23,43.9,0.0,0.0,16.22,11,2,5.5,50.67,12.38,63.05,0.08
600508,20240126,20260314,20260224,12.83,13.79,7.48,14,11.88,16.08,3.2,5.07,0.0,0.0,2.16,7,5,1.4,16.39,8.76,25.15,2.3
000581,20240126,20260314,20260224,21.4,23.84,11.4,14,20.57,15.9,17.29,16.12,0.0,0.0,8.29,6,7,0.86,26.07,14.26,40.32,-4.06
600982,20240126,20260314,20260224,4.74,5.17,9.07,14,4.37,18.31,5.49,10.97,0.0,0.0,4.39,9,4,2.25,16.23,7.26,23.49,-1.71
300387,20240126,20260314,20260213,9.14,10.38,13.57,15,8.59,20.84,10.07,8.53,0.0,0.0,4.57,6,8,0.75,26.76,13.19,39.95,5.38
300145,20240126,20260314,20260212,4.79,5.28,10.23,16,4.59,15.03,5.22,3.34,0.0,0.0,2.05,7,8,0.88,24.43,13.97,38.39,1.15
300499,20240126,20260314,20260212,30.75,38.27,24.46,16,31.79,20.38,24.07,25.72,0.0,0.0,12.53,10,5,2.0,42.79,17.97,60.76,2.33
002384,20240126,20260314,20260212,77.38,110.93,43.36,16,84.66,31.03,11.0,19.8,0.0,0.0,8.14,12,3,4.0,43.18,5.83,49.02,12.92
002200,20240126,20260314,20260211,7.0,7.54,7.71,17,7.41,1.75,1.57,4.43,0.0,0.0,1.64,10,5,2.0,10.77,3.25,14.02,1.62
000601,20240126,20260314,20260211,5.17,6.46,24.95,17,4.73,36.58,4.26,6.38,0.0,0.0,2.77,10,6,1.67,40.81,16.72,57.53,-4.3
300319,20240126,20260314,20260211,12.68,13.43,5.91,17,11.96,12.29,6.94,10.88,0.0,0.0,4.65,8,8,1.0,20.25,13.95,34.2,0.37
601567,20240126,20260314,20260211,23.99,30.44,26.89,17,23.31,30.59,8.38,7.63,0.0,0.0,3.96,9,7,1.29,40.73,15.44,56.18,-5.9
002655,20240126,20260314,20260210,14.08,16.77,19.11,18,12.92,29.8,12.36,19.96,0.0,0.0,8.46,8,9,0.89,33.14,14.53,47.66,-3.01
601699,20240126,20260314,20260210,13.67,15.2,11.19,18,11.91,27.62,5.05,9.22,0.0,0.0,3.78,9,8,1.12,25.4,14.1,39.5,3.54
300249,20240126,20260314,20260210,15.89,17.44,9.75,18,15.15,15.12,12.02,18.57,0.0,0.0,7.98,8,9,0.89,37.52,26.19,63.7,-6.39
600644,20240126,20260314,20260209,11.17,12.62,12.98,19,10.07,25.32,-0.36,14.68,0.0,0.0,4.33,8,10,0.8,30.39,17.25,47.64,-7.21
002272,20240126,20260314,20260209,16.93,18.7,10.45,19,16.8,11.31,-0.06,20.44,0.0,0.0,6.12,8,10,0.8,44.36,31.92,76.28,-5.7
603985,20240126,20260314,20260209,16.8,18.03,7.32,19,15.27,18.07,4.17,4.76,0.0,0.0,2.26,9,9,1.0,24.53,16.64,41.16,-3.12
300511,20240126,20260314,20260209,6.87,7.25,5.53,19,6.24,16.19,2.04,5.39,0.0,0.0,2.02,9,9,1.0,18.76,12.95,31.71,-1.63
000628,20240126,20260314,20260209,49.99,53.65,7.32,19,45.59,17.68,12.22,14.18,0.0,0.0,6.7,11,7,1.57,26.36,17.95,44.31,-1.67
300449,20240126,20260314,20260209,7.57,8.37,10.57,19,7.51,11.45,21.27,11.36,0.0,0.0,7.66,6,12,0.5,36.11,23.66,59.77,-5.21
002815,20240126,20260314,20260209,14.75,15.87,7.59,19,13.94,13.85,1.76,5.02,0.0,0.0,1.86,11,7,1.57,26.37,18.29,44.66,7.3
