ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
300747,20241220,20260421,20260403,29.85,36.6,22.61,22.61,11,30.2,21.19,6.26,16.75,0.0,0.0,6.28,7,3,2.33,27.72,6.57,34.29,1,60,8.93
301055,20241220,20260421,20260403,20.79,31.25,50.31,50.31,11,20.08,55.63,24.48,68.06,0.0,0.0,25.31,8,2,4.0,55.79,11.68,67.48,5,60,4.38
301172,20241220,20260421,20260403,26.84,30.66,14.23,14.23,11,23.52,30.36,7.94,12.78,0.0,0.0,5.42,7,3,2.33,19.09,5.34,24.43,0,60,1.69
688010,20241220,20260421,20260403,30.9,35.81,15.89,15.89,11,33.3,7.54,11.62,12.65,0.0,0.0,6.12,7,3,2.33,20.23,4.85,25.08,1,60,4.92
300504,20241220,20260421,20260403,14.91,16.07,7.78,7.78,11,14.95,7.49,8.05,7.91,0.0,0.0,3.98,5,5,1.0,11.29,3.63,14.92,0,60,1.07
603757,20241220,20260421,20260403,43.19,58.6,35.68,35.68,11,45.65,28.37,27.6,29.34,0.0,0.0,14.32,8,2,4.0,35.26,3.51,38.77,4,60,4.51
001211,20241220,20260421,20260403,28.01,32.06,14.46,14.46,11,26.81,19.58,9.53,13.53,0.0,0.0,5.96,6,4,1.5,18.64,4.53,23.18,3,60,3.09
002650,20240126,20260421,20260403,6.89,7.29,5.81,5.81,11,6.45,13.02,17.42,5.37,0.0,0.0,5.1,6,4,1.5,18.2,11.94,30.15,6,60,-6.42
688146,20241220,20260421,20260403,51.22,67.57,31.92,31.92,11,42.18,60.19,18.02,25.56,0.0,0.0,11.27,9,1,9.0,29.97,1.59,31.56,8,60,10.57
688003,20241220,20260421,20260403,61.41,71.94,17.15,17.15,11,62.25,15.57,11.56,20.29,0.0,0.0,8.4,6,4,1.5,21.85,5.46,27.32,0,60,2.99
605589,20241220,20260421,20260403,32.43,36.78,13.41,13.41,11,28.77,27.84,12.58,19.09,0.0,0.0,8.24,7,3,2.33,20.72,7.34,28.06,4,60,-1.0
688400,20241220,20260421,20260403,43.23,47.92,10.85,10.85,11,43.51,10.14,10.34,13.21,0.0,0.0,6.03,6,4,1.5,17.59,6.86,24.45,2,60,-1.2
300632,20240126,20260421,20260402,14.93,16.52,10.65,10.65,12,15.15,9.04,12.12,16.61,0.0,0.0,7.41,6,5,1.2,37.67,24.97,62.64,4,60,-7.24
688267,20241220,20260421,20260402,28.56,31.56,10.5,10.5,12,28.97,8.94,6.93,8.93,0.0,0.0,4.06,7,4,1.75,11.98,1.81,13.79,0,60,0.7
688356,20241220,20260421,20260401,98.9,109.37,10.59,10.59,13,91.88,19.04,1.4,5.01,0.0,0.0,1.78,7,5,1.4,20.57,9.99,30.57,0,60,6.73
002458,20240126,20260421,20260401,9.1,10.44,14.73,14.73,13,8.59,21.54,4.62,10.88,0.0,0.0,4.19,9,3,3.0,16.3,2.35,18.65,2,60,4.09
688180,20241220,20260421,20260401,38.4,43.18,12.45,12.45,13,36.42,18.56,2.16,13.28,0.0,0.0,4.42,7,5,1.4,20.33,7.91,28.25,4,60,4.55
300456,20240126,20260421,20260401,46.03,55.43,20.42,20.42,13,53.09,4.41,13.45,13.88,0.0,0.0,6.85,9,3,3.0,24.13,5.01,29.15,0,60,3.8
603458,20241220,20260421,20260401,10.16,12.4,22.05,22.05,13,11.02,12.52,5.12,12.2,0.0,0.0,4.68,10,2,5.0,24.66,4.24,28.9,0,60,12.32
603986,20240126,20260421,20260401,255.0,290.54,13.94,13.94,13,235.68,23.28,0.38,7.45,0.0,0.0,2.31,8,4,2.0,22.22,8.54,30.76,0,60,3.76
300559,20240126,20260421,20260401,13.6,15.23,11.99,11.99,13,12.96,17.52,4.63,7.94,0.0,0.0,3.31,8,4,2.0,23.46,11.51,34.97,2,60,10.36
003023,20241220,20260421,20260401,24.4,31.74,30.08,30.08,13,22.61,40.38,1.6,7.95,0.0,0.0,2.7,10,2,5.0,28.84,1.72,30.57,5,60,20.96
301568,20241220,20260421,20260401,50.48,56.0,10.94,10.94,13,49.6,12.9,6.68,9.35,0.0,0.0,4.14,6,6,1.0,17.65,6.77,24.42,0,60,0.9
002100,20240126,20260421,20260401,7.33,7.91,7.91,7.91,13,7.4,6.89,6.55,13.92,0.0,0.0,5.49,5,7,0.71,18.96,10.8,29.76,2,60,-2.47
688001,20241220,20260421,20260401,31.71,43.85,38.28,38.28,13,30.77,42.51,22.86,31.25,0.0,0.0,13.95,8,4,2.0,44.15,10.21,54.36,4,60,3.4
688079,20241220,20260421,20260401,12.5,16.25,30.0,30.0,13,11.5,41.3,14.24,22.32,0.0,0.0,9.54,7,4,1.75,33.26,5.79,39.05,4,60,6.77
600292,20240126,20260421,20260401,14.27,15.56,9.04,9.04,13,13.04,19.33,0.35,7.92,0.0,0.0,2.45,9,3,3.0,17.77,8.69,26.46,0,60,2.03
301326,20241220,20260421,20260401,130.69,161.35,23.46,23.46,13,110.58,45.91,11.88,21.81,0.0,0.0,8.92,9,3,3.0,27.0,5.21,32.21,3,60,1.93
688112,20241220,20260421,20260401,39.15,52.27,33.51,33.51,13,38.33,36.37,23.83,26.44,0.0,0.0,12.7,8,4,2.0,39.97,8.87,48.83,5,60,6.98
300592,20240126,20260421,20260401,12.36,13.73,11.08,11.08,13,11.01,24.7,6.72,4.29,0.0,0.0,2.63,6,6,1.0,19.41,8.46,27.86,0,60,5.86
688362,20241220,20260421,20260401,39.74,47.48,19.48,19.48,13,34.18,38.91,7.98,19.6,0.0,0.0,7.48,6,6,1.0,27.66,9.03,36.69,0,60,-0.38
688234,20241220,20260421,20260401,86.8,97.82,12.7,12.7,13,88.19,10.92,5.55,4.23,0.0,0.0,2.38,7,5,1.4,22.28,9.67,31.95,0,60,5.82
603010,20240126,20260421,20260401,11.68,12.91,10.53,10.53,13,10.6,21.79,1.11,6.76,0.0,0.0,2.25,7,5,1.4,13.55,3.3,16.85,3,60,2.38
300199,20240126,20260421,20260401,20.15,21.69,7.64,7.64,13,18.94,14.52,3.08,3.92,0.0,0.0,1.79,9,3,3.0,15.28,7.5,22.77,1,60,2.26
002107,20240126,20260421,20260401,6.75,7.7,14.07,14.07,13,6.59,16.84,2.96,17.78,0.0,0.0,5.93,7,5,1.4,30.13,15.6,45.74,2,60,-1.66
605100,20241220,20260421,20260401,41.39,48.98,18.34,18.34,13,44.76,9.43,5.82,8.29,0.0,0.0,3.65,9,3,3.0,24.11,6.73,30.85,0,60,6.94
301188,20241220,20260421,20260401,20.45,25.93,26.8,26.8,13,17.86,45.18,15.75,15.01,0.0,0.0,7.65,6,6,1.0,43.43,17.21,60.64,5,60,9.13
002579,20240126,20260421,20260401,12.29,13.25,7.81,7.81,13,12.24,8.25,6.18,3.42,0.0,0.0,2.26,8,4,2.0,14.26,6.51,20.77,0,60,1.69
688488,20241220,20260421,20260401,17.82,18.75,5.22,5.22,13,16.56,13.22,2.64,15.1,0.0,0.0,5.06,6,5,1.2,15.46,9.92,25.38,0,60,-3.5
688800,20241220,20260421,20260401,83.9,96.71,15.27,15.27,13,83.3,16.1,6.39,14.48,0.0,0.0,5.62,8,4,2.0,20.65,5.69,26.33,0,60,1.06
000301,20240126,20260421,20260401,10.89,12.37,13.59,13.59,13,10.7,15.61,5.14,5.23,0.0,0.0,2.6,9,3,3.0,18.94,5.83,24.77,0,60,8.51
603286,20240126,20260421,20260331,57.69,64.31,11.48,11.48,14,67.93,-5.33,3.09,6.81,0.0,0.0,2.66,8,5,1.6,19.61,8.32,27.94,0,60,4.37
605055,20241220,20260421,20260331,9.56,10.98,14.85,14.85,14,9.71,13.08,4.29,8.58,0.0,0.0,3.43,7,6,1.17,26.28,11.71,37.99,6,60,5.78
688758,20241220,20260421,20260331,19.65,21.47,9.26,9.26,14,18.35,17.0,-2.04,2.14,0.0,0.0,0.23,8,4,2.0,20.11,10.62,30.73,2,60,6.98
002454,20240126,20260421,20260331,9.24,10.6,14.72,14.72,14,8.68,22.12,0.43,13.42,0.0,0.0,4.11,9,4,2.25,19.19,5.11,24.3,5,60,1.15
