ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
MIDU,20240126,20260418,20260406,54.11,64.89,19.92,19.92,10,52.8,22.9,8.52,19.92,0.0,0.0,7.68,7,2,3.5,20.86,2.1,22.96,0,60,6.92
SHAK,20240126,20260418,20260406,92.37,103.73,12.3,12.3,10,83.47,24.27,6.76,12.3,0.0,0.0,5.04,6,3,2.0,15.16,3.27,18.43,0,60,3.06
IVOV,20240126,20260418,20260406,103.24,108.91,5.49,5.49,10,102.04,6.73,2.68,5.49,0.0,0.0,2.18,7,2,3.5,6.2,0.81,7.01,0,60,1.97
MCHP,20240126,20260418,20260406,67.22,78.76,17.17,17.17,10,65.03,21.11,6.46,17.17,0.0,0.0,6.44,8,1,8.0,16.1,0.01,16.11,0,60,7.08
SCZ,20240126,20260418,20260406,79.79,85.19,6.77,6.77,10,78.21,8.92,3.78,6.77,0.0,0.0,2.79,6,3,2.0,7.3,0.65,7.95,0,60,2.4
RMR,20240126,20260418,20260406,15.89,16.96,6.73,6.73,10,15.13,12.1,3.15,6.73,0.0,0.0,2.65,5,3,1.67,7.58,0.99,8.56,0,60,3.67
CNXN,20240126,20260418,20260406,59.96,64.29,7.22,7.22,10,56.88,13.03,4.1,7.22,0.0,0.0,2.99,6,3,2.0,9.48,2.39,11.87,0,60,-0.14
XSD,20240126,20260418,20260406,340.07,414.67,21.94,21.94,10,335.36,23.65,9.06,21.94,0.0,0.0,8.39,9,0,9999.99,20.14,0.0,20.14,6,60,8.88
ASB,20240126,20260418,20260406,26.3,28.14,7.0,7.0,10,25.76,9.24,4.49,7.0,0.0,0.0,3.0,6,3,2.0,9.25,2.38,11.63,0,60,1.01
MATW,20240126,20260418,20260406,25.61,27.54,7.54,7.54,10,25.93,6.21,6.29,7.54,0.0,0.0,3.52,6,3,2.0,9.31,1.96,11.27,0,60,1.74
CIM,20240126,20260418,20260406,13.04,13.7,5.06,5.06,10,12.74,7.54,2.45,5.06,0.0,0.0,2.01,7,2,3.5,8.21,3.18,11.4,0,60,2.01
ACNB,20240126,20260418,20260406,48.84,51.7,5.86,5.86,10,47.25,9.42,4.87,5.86,0.0,0.0,2.73,5,4,1.25,8.64,2.84,11.48,0,60,0.8
FHB,20240126,20260418,20260406,25.51,26.82,5.14,5.14,10,25.67,4.48,2.98,5.14,0.0,0.0,2.14,5,4,1.25,8.07,2.97,11.04,0,60,0.98
DFIN,20240126,20260418,20260406,48.74,52.46,7.63,7.63,10,45.63,14.97,-0.25,7.63,0.0,0.0,2.24,6,3,2.0,10.34,2.85,13.19,0,60,7.26
VSS,20240126,20260418,20260406,147.6,160.24,8.56,8.56,10,144.74,10.71,4.31,8.56,0.0,0.0,3.43,7,2,3.5,8.67,0.34,9.01,1,60,3.23
LWAY,20240126,20260418,20260406,22.75,25.66,12.79,12.79,10,22.8,12.54,4.48,12.79,0.0,0.0,4.73,8,1,8.0,13.02,0.85,13.87,7,60,5.16
MCY,20240126,20260418,20260406,89.09,96.27,8.06,8.06,10,91.77,4.9,3.5,8.06,0.0,0.0,3.12,7,2,3.5,10.38,2.51,12.89,0,60,2.64
EEMX,20240126,20260418,20260406,44.51,49.67,11.59,11.59,10,43.69,13.69,6.04,11.59,0.0,0.0,4.69,8,0,9999.99,11.16,0.0,11.16,1,60,4.3
DPST,20240126,20260418,20260406,103.36,120.63,16.71,16.71,10,102.85,17.29,10.3,16.71,0.0,0.0,7.07,5,4,1.25,22.81,6.56,29.36,0,60,3.92
EEM,20240126,20260418,20260406,57.11,63.64,11.43,11.43,10,56.24,13.16,6.04,11.43,0.0,0.0,4.64,7,2,3.5,11.34,0.33,11.67,0,60,4.21
IJJ,20240126,20260418,20260406,134.03,141.47,5.55,5.55,10,133.07,6.31,2.65,5.55,0.0,0.0,2.19,7,2,3.5,6.26,0.8,7.06,0,60,1.98
