ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
000001.SZ,20260417,11.01,5.0116,0.4735,1.6255,21365915.936,21365566.319
000001.SZ,20260416,11.09,5.048,0.4769,1.6373,21521163.2816,21520811.1242
000001.SZ,20260415,11.21,5.1026,0.4821,1.655,21754034.3,21753678.332
000001.SZ,20260414,11.17,5.0844,0.4804,1.6491,21676410.6272,21676055.9294
000001.SZ,20260413,11.07,5.0389,0.4761,1.6344,21482351.4452,21481999.9229
000001.SZ,20260410,11.09,5.048,0.4769,1.6373,21521163.2816,21520811.1242
000001.SZ,20260409,11.1,5.0526,0.4774,1.6388,21540569.1998,21540216.7248
000001.SZ,20260408,11.22,5.1072,0.4825,1.6565,21773440.2182,21773083.9327
000001.SZ,20260407,11.03,5.0207,0.4744,1.6285,21404727.7724,21404377.5203
000001.SZ,20260403,11.12,5.0617,0.4782,1.6417,21579381.0362,21579027.9261
000001.SZ,20260402,11.27,5.1299,0.4847,1.6639,21870469.8091,21870111.9359
000001.SZ,20260401,11.15,5.0753,0.4795,1.6462,21637598.7908,21637244.7281
000001.SZ,20260331,11.08,5.0435,0.4765,1.6358,21501757.3634,21501405.5235
000001.SZ,20260330,10.99,5.0025,0.4726,1.6225,21327104.0996,21326755.1176
000001.SZ,20260327,11.02,5.0161,0.4739,1.627,21385321.8542,21384971.9196
000001.SZ,20260326,10.94,4.9797,0.4705,1.6152,21230074.5086,21229727.1144
000001.SZ,20260325,10.94,4.9797,0.4705,1.6152,21230074.5086,21229727.1144
000001.SZ,20260324,10.88,4.9524,0.4679,1.6063,21113638.9994,21113293.5105
000001.SZ,20260323,10.45,4.7567,0.4494,1.5428,20279184.5169,20278852.6824
000001.SZ,20260320,10.77,4.6958,0.4714,1.4247,20900173.8992,20899831.9033
000001.SZ,20260319,10.88,4.7438,0.4762,1.4393,21113638.9994,21113293.5105
000001.SZ,20260318,10.96,4.7787,0.4797,1.4499,21268886.345,21268538.3157
000001.SZ,20260317,11.03,4.8092,0.4827,1.4591,21404727.7724,21404377.5203
000001.SZ,20260316,10.92,4.7612,0.4779,1.4446,21191262.6722,21190915.9131
000001.SZ,20260313,10.93,4.7656,0.4784,1.4459,21210668.5904,21210321.5137
000001.SZ,20260312,10.94,4.7699,0.4788,1.4472,21230074.5086,21229727.1144
000001.SZ,20260311,10.89,4.7481,0.4766,1.4406,21133044.9176,21132699.1111
000001.SZ,20260310,10.81,4.7133,0.4731,1.43,20977797.572,20977454.3059
000001.SZ,20260309,10.76,4.6915,0.4709,1.4234,20880767.981,20880426.3026
000001.SZ,20260306,10.82,4.7176,0.4736,1.4314,20997203.4902,20996859.9065
000001.SZ,20260305,10.81,4.7133,0.4731,1.43,20977797.572,20977454.3059
000001.SZ,20260304,10.71,4.6697,0.4687,1.4168,20783738.3901,20783398.2994
000001.SZ,20260303,10.88,4.7438,0.4762,1.4393,21113638.9994,21113293.5105
000001.SZ,20260302,10.85,4.7307,0.4749,1.4353,21055421.2448,21055076.7085
000001.SZ,20260227,10.9,4.7525,0.4771,1.4419,21152450.8358,21152104.7118
000001.SZ,20260226,10.87,4.7394,0.4757,1.438,21094233.0812,21093887.9098
000001.SZ,20260225,10.86,4.7351,0.4753,1.4366,21074827.163,21074482.3092
000001.SZ,20260224,10.91,4.7569,0.4775,1.4433,21171856.754,21171510.3124
000001.SZ,20260213,10.91,4.7569,0.4775,1.4433,21171856.754,21171510.3124
000001.SZ,20260212,10.96,4.7787,0.4797,1.4499,21268886.345,21268538.3157
000001.SZ,20260211,11.07,4.8266,0.4845,1.4644,21482351.4452,21481999.9229
000001.SZ,20260210,11.06,4.8223,0.4841,1.4631,21462945.527,21462594.3222
000001.SZ,20260209,11.07,4.8266,0.4845,1.4644,21482351.4452,21481999.9229
000001.SZ,20260206,11.05,4.8179,0.4836,1.4618,21443539.6088,21443188.7216
000001.SZ,20260205,11.09,4.8353,0.4854,1.4671,21521163.2816,21520811.1242
000001.SZ,20260204,10.97,4.783,0.4801,1.4512,21288292.2632,21287943.9163
000001.SZ,20260203,10.84,4.7263,0.4744,1.434,21036015.3266,21035671.1079
000001.SZ,20260202,10.86,4.7351,0.4753,1.4366,21074827.163,21074482.3092
000001.SZ,20260130,10.83,4.722,0.474,1.4327,21016609.4084,21016265.5072
000001.SZ,20260129,10.96,4.7787,0.4797,1.4499,21268886.345,21268538.3157
000001.SZ,20260128,10.84,4.7263,0.4744,1.434,21036015.3266,21035671.1079
000001.SZ,20260127,10.94,4.7699,0.4788,1.4472,21230074.5086,21229727.1144
000001.SZ,20260126,10.96,4.7787,0.4797,1.4499,21268886.345,21268538.3157
000001.SZ,20260123,10.99,4.7917,0.481,1.4538,21327104.0996,21326755.1176
000001.SZ,20260122,11.07,4.8266,0.4845,1.4644,21482351.4452,21481999.9229
000001.SZ,20260121,11.07,4.8266,0.4845,1.4644,21482351.4452,21481999.9229
000001.SZ,20260120,11.16,4.8659,0.4884,1.4763,21657004.709,21656650.3287
000001.SZ,20260119,11.12,4.8484,0.4867,1.471,21579381.0362,21579027.9261
000001.SZ,20260116,11.19,4.8789,0.4897,1.4803,21715222.4636,21714867.1307
000001.SZ,20260115,11.31,4.9313,0.495,1.4962,21948093.4819,21947734.3385
000001.SZ,20260114,11.36,4.9531,0.4972,1.5028,22045123.0729,22044762.3418
000001.SZ,20260113,11.47,5.001,0.502,1.5173,22258588.1731,22258223.949
000001.SZ,20260112,11.48,5.0054,0.5024,1.5187,22277994.0913,22277629.5496
000001.SZ,20260109,11.46,4.9967,0.5016,1.516,22239182.2549,22238818.3483
000001.SZ,20260108,11.51,5.0185,0.5038,1.5226,22336211.8459,22335846.3516
000001.SZ,20260107,11.64,5.0752,0.5094,1.5398,22588488.7825,22588119.1601
000001.SZ,20260106,11.67,5.0882,0.5108,1.5438,22646706.5371,22646335.9621
000001.SZ,20260105,11.5,5.0141,0.5033,1.5213,22316805.9277,22316440.751
000001.SZ,20251231,11.41,4.9749,0.4994,1.5094,22142152.6639,22141790.3451
000001.SZ,20251230,11.48,5.0054,0.5024,1.5187,22277994.0913,22277629.5496
000001.SZ,20251229,11.56,5.0403,0.5059,1.5292,22433241.4369,22432874.3549
000001.SZ,20251226,11.54,5.0316,0.5051,1.5266,22394429.6005,22394063.1536
000001.SZ,20251225,11.56,5.0403,0.5059,1.5292,22433241.4369,22432874.3549
000001.SZ,20251224,11.54,5.0316,0.5051,1.5266,22394429.6005,22394063.1536
000001.SZ,20251223,11.56,5.0403,0.5059,1.5292,22433241.4369,22432874.3549
000001.SZ,20251222,11.52,5.0228,0.5042,1.524,22355617.7641,22355251.9523
000001.SZ,20251219,11.62,5.0664,0.5086,1.5372,22549676.9461,22549307.9588
000001.SZ,20251218,11.64,5.0752,0.5094,1.5398,22588488.7825,22588119.1601
000001.SZ,20251217,11.53,5.0272,0.5046,1.5253,22375023.6823,22374657.5529
000001.SZ,20251216,11.48,5.0054,0.5024,1.5187,22277994.0913,22277629.5496
000001.SZ,20251215,11.51,5.0185,0.5038,1.5226,22336211.8459,22335846.3516
000001.SZ,20251212,11.35,4.9487,0.4967,1.5015,22025717.1547,22025356.7412
000001.SZ,20251211,11.37,4.9574,0.4976,1.5041,22064528.9911,22064167.9425
000001.SZ,20251210,11.33,4.94,0.4959,1.4988,21986905.3183,21986545.5398
000001.SZ,20251209,11.43,4.9836,0.5003,1.512,22180964.5003,22180601.5464
000001.SZ,20251208,11.52,5.0228,0.5042,1.524,22355617.7641,22355251.9523
000001.SZ,20251205,11.53,5.0272,0.5046,1.5253,22375023.6823,22374657.5529
000001.SZ,20251204,11.49,5.0098,0.5029,1.52,22297400.0095,22297035.1503
000001.SZ,20251203,11.55,5.0359,0.5055,1.5279,22413835.5187,22413468.7542
000001.SZ,20251202,11.64,5.0752,0.5094,1.5398,22588488.7825,22588119.1601
000001.SZ,20251201,11.69,5.097,0.5116,1.5464,22685518.3735,22685147.1634
000001.SZ,20251128,11.61,5.0621,0.5081,1.5359,22530271.0279,22529902.3581
000001.SZ,20251127,11.71,5.1057,0.5125,1.5491,22724330.2099,22723958.3647
000001.SZ,20251126,11.69,5.097,0.5116,1.5464,22685518.3735,22685147.1634
000001.SZ,20251125,11.8,5.1449,0.5164,1.561,22898983.4736,22898608.7705
000001.SZ,20251124,11.6,5.0577,0.5077,1.5345,22510865.1097,22510496.7575
000001.SZ,20251121,11.69,5.097,0.5116,1.5464,22685518.3735,22685147.1634
000001.SZ,20251120,11.85,5.1667,0.5186,1.5676,22996013.0646,22995636.7738
000001.SZ,20251119,11.8,5.1449,0.5164,1.561,22898983.4736,22898608.7705
000001.SZ,20251118,11.59,5.0534,0.5073,1.5332,22491459.1915,22491091.1568
000001.SZ,20251117,11.67,5.0882,0.5108,1.5438,22646706.5371,22646335.9621
000001.SZ,20251114,11.75,5.1231,0.5143,1.5544,22801953.8827,22801580.7673
000001.SZ,20251113,11.7,5.1013,0.5121,1.5478,22704924.2917,22704552.764
000001.SZ,20251112,11.68,5.0926,0.5112,1.5451,22666112.4553,22665741.5627
000001.SZ,20251111,11.67,5.0882,0.5108,1.5438,22646706.5371,22646335.9621
000001.SZ,20251110,11.63,5.0708,0.509,1.5385,22569082.8643,22568713.5594
000001.SZ,20251107,11.55,5.0359,0.5055,1.5279,22413835.5187,22413468.7542
000001.SZ,20251106,11.51,5.0185,0.5038,1.5226,22336211.8459,22335846.3516
000001.SZ,20251105,11.52,5.0228,0.5042,1.524,22355617.7641,22355251.9523
000001.SZ,20251104,11.59,5.0534,0.5073,1.5332,22491459.1915,22491091.1568
000001.SZ,20251103,11.43,4.9836,0.5003,1.512,22180964.5003,22180601.5464
000001.SZ,20251031,11.32,4.9356,0.4954,1.4975,21967499.4001,21967139.9392
000001.SZ,20251030,11.38,4.9618,0.4981,1.5054,22083934.9093,22083573.5431
000001.SZ,20251029,11.39,4.9662,0.4985,1.5068,22103340.8275,22102979.1438
000001.SZ,20251028,11.47,5.001,0.502,1.5173,22258588.1731,22258223.949
000001.SZ,20251027,11.52,5.0228,0.5042,1.524,22355617.7641,22355251.9523
000001.SZ,20251024,11.56,5.0403,0.5151,1.5292,22433241.4369,22432874.3549
000001.SZ,20251023,11.63,5.0708,0.5182,1.5385,22569082.8643,22568713.5594
000001.SZ,20251022,11.52,5.0228,0.5133,1.524,22355617.7641,22355251.9523
000001.SZ,20251021,11.43,4.9836,0.5093,1.512,22180964.5003,22180601.5464
000001.SZ,20251020,11.42,4.9792,0.5088,1.5107,22161558.5821,22161195.9457
000001.SZ,20251017,11.4,4.9705,0.508,1.5081,22122746.7457,22122384.7444
000001.SZ,20251016,11.54,5.0316,0.5142,1.5266,22394429.6005,22394063.1536
000001.SZ,20251015,11.4,4.9705,0.508,1.5081,22122746.7457,22122384.7444
000001.SZ,20251014,11.57,5.0446,0.5102,1.5306,22452647.3551,22452279.9555
000001.SZ,20251013,11.4,4.9705,0.5027,1.5081,22122746.7457,22122384.7444
000001.SZ,20251010,11.43,4.9836,0.504,1.512,22180964.5003,22180601.5464
000001.SZ,20251009,11.4,4.9705,0.5027,1.5081,22122746.7457,22122384.7444
000001.SZ,20250930,11.34,4.9443,0.5,1.5001,22006311.2365,22005951.1405
000001.SZ,20250929,11.37,4.9574,0.5013,1.5041,22064528.9911,22064167.9425
000001.SZ,20250926,11.4,4.9705,0.5027,1.5081,22122746.7457,22122384.7444
000001.SZ,20250925,11.4,4.9705,0.5027,1.5081,22122746.7457,22122384.7444
000001.SZ,20250924,11.46,4.9967,0.5053,1.516,22239182.2549,22238818.3483
000001.SZ,20250923,11.52,5.0228,0.508,1.524,22355617.7641,22355251.9523
000001.SZ,20250922,11.38,4.9618,0.5018,1.5054,22083934.9093,22083573.5431
000001.SZ,20250919,11.45,4.9923,0.5049,1.5147,22219776.3367,22219412.7477
000001.SZ,20250918,11.41,4.9749,0.5031,1.5094,22142152.6639,22141790.3451
000001.SZ,20250917,11.64,5.0752,0.5132,1.5398,22588488.7825,22588119.1601
000001.SZ,20250916,11.64,5.0752,0.5132,1.5398,22588488.7825,22588119.1601
000001.SZ,20250915,11.65,5.0795,0.5137,1.5411,22607894.7007,22607524.7607
000001.SZ,20250912,11.72,5.11,0.5168,1.5504,22743736.1281,22743363.9653
000001.SZ,20250911,11.85,5.1667,0.5225,1.5676,22996013.0646,22995636.7738
000001.SZ,20250910,11.77,5.1318,0.519,1.557,22840765.719,22840391.9686
000001.SZ,20250909,11.75,5.1231,0.5181,1.5544,22801953.8827,22801580.7673
000001.SZ,20250908,11.7,5.1013,0.5159,1.5478,22704924.2917,22704552.764
000001.SZ,20250905,11.72,5.11,0.5168,1.5504,22743736.1281,22743363.9653
000001.SZ,20250904,11.74,5.1188,0.5177,1.5531,22782547.9645,22782175.1666
000001.SZ,20250903,11.75,5.1231,0.5181,1.5544,22801953.8827,22801580.7673
000001.SZ,20250902,11.98,5.2234,0.5282,1.5848,23248290.0012,23247909.5823
000001.SZ,20250901,11.89,5.1842,0.5243,1.5729,23073636.7374,23073259.1764
000001.SZ,20250829,12.05,5.2539,0.5313,1.5941,23384131.4286,23383748.7869
000001.SZ,20250828,12.08,5.267,0.5326,1.598,23442349.1832,23441965.5888
