ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
600036.SH,20260417,39.52,6.6366,0.9099,2.9529,99668829.8152,81525588.3834
600036.SH,20260416,39.91,6.7021,0.9188,2.982,100652403.7936,82330117.2161
600036.SH,20260415,39.9,6.7004,0.9186,2.9813,100627183.948,82309488.2717
600036.SH,20260414,39.13,6.5711,0.9009,2.9237,98685255.8367,80721059.5507
600036.SH,20260413,38.98,6.5459,0.8974,2.9125,98306958.1527,80411625.3842
600036.SH,20260410,39.21,6.5845,0.9027,2.9297,98887014.6015,80886091.1061
600036.SH,20260409,39.26,6.5929,0.9039,2.9334,99013113.8295,80989235.8283
600036.SH,20260408,39.62,6.6534,0.9122,2.9603,99921028.2712,81731877.8277
600036.SH,20260407,38.99,6.5476,0.8977,2.9133,98332177.9983,80432254.3287
600036.SH,20260403,39.4,6.6164,0.9071,2.9439,99366191.6679,81278041.0503
600036.SH,20260402,39.76,6.6769,0.9154,2.9708,100274106.1096,82020683.0497
600036.SH,20260401,39.82,6.687,0.9168,2.9753,100425425.1832,82144456.7163
600036.SH,20260331,39.32,6.603,0.9053,2.9379,99164432.9031,81113009.4948
600036.SH,20260330,39.48,6.6299,0.9089,2.9499,99567950.4327,81443072.6057
600036.SH,20260327,39.44,6.703,0.9346,2.9473,99467071.0503,81360556.828
600036.SH,20260326,39.56,6.7234,0.9374,2.9562,99769709.1976,81608104.1611
600036.SH,20260325,39.26,6.6724,0.9303,2.9338,99013113.8295,80989235.8283
600036.SH,20260324,39.25,6.6707,0.9301,2.9331,98987893.9839,80968606.8838
600036.SH,20260323,38.68,6.5739,0.9166,2.8905,97550362.7847,79792757.0514
600036.SH,20260320,39.75,6.7557,0.9419,2.9704,100248886.264,82000054.1053
600036.SH,20260319,39.77,6.7591,0.9424,2.9719,100299325.9552,82041311.9941
600036.SH,20260318,39.92,6.7846,0.946,2.9831,100677623.6392,82350746.1606
600036.SH,20260317,40.12,6.8186,0.9507,2.9981,101182020.5512,82763325.0491
600036.SH,20260316,39.91,6.7829,0.9457,2.9824,100652403.7936,82330117.2161
600036.SH,20260313,39.76,6.7574,0.9422,2.9712,100274106.1096,82020683.0497
600036.SH,20260312,39.5,6.7132,0.936,2.9518,99618390.124,81484330.4946
600036.SH,20260311,39.5,6.7132,0.936,2.9518,99618390.124,81484330.4946
600036.SH,20260310,39.22,6.6656,0.9294,2.9308,98912234.4471,80906720.0505
600036.SH,20260309,38.79,6.5926,0.9192,2.8987,97827781.0863,80019675.4401
600036.SH,20260306,39.2,6.6623,0.9289,2.9293,98861794.7559,80865462.1617
600036.SH,20260305,39.15,6.6538,0.9277,2.9256,98735695.5279,80762317.4395
600036.SH,20260304,38.6,6.5603,0.9147,2.8845,97348604.0199,79627725.4959
600036.SH,20260303,39.18,6.6589,0.9284,2.9278,98811355.0647,80824204.2728
600036.SH,20260302,38.67,6.5722,0.9163,2.8897,97525142.9391,79772128.1069
600036.SH,20260227,38.75,6.5858,0.9182,2.8957,97726901.7039,79937159.6624
600036.SH,20260226,38.7,6.5773,0.9171,2.892,97600802.4759,79834014.9402
600036.SH,20260225,38.78,6.5909,0.919,2.898,97802561.2407,79999046.4957
600036.SH,20260224,38.94,6.6181,0.9227,2.9099,98206078.7703,80329109.6065
600036.SH,20260213,38.71,6.579,0.9173,2.8927,97626022.3215,79854643.8847
600036.SH,20260212,38.99,6.6266,0.9239,2.9136,98332177.9983,80432254.3287
600036.SH,20260211,39.4,6.6962,0.9336,2.9443,99366191.6679,81278041.0503
600036.SH,20260210,39.34,6.686,0.9322,2.9398,99214872.5943,81154267.3837
600036.SH,20260209,39.48,6.7098,0.9355,2.9503,99567950.4327,81443072.6057
600036.SH,20260206,39.6,6.7302,0.9384,2.9592,99870588.58,81690619.9388
600036.SH,20260205,39.71,6.7489,0.941,2.9675,100148006.8816,81917538.3276
600036.SH,20260204,39.01,6.63,0.9244,2.9151,98382617.6895,80473512.2175
600036.SH,20260203,38.3,6.5093,0.9076,2.8621,96592008.6518,79008857.1631
600036.SH,20260202,38.45,6.5348,0.9111,2.8733,96970306.3358,79318291.3295
600036.SH,20260130,38.67,6.5722,0.9163,2.8897,97525142.9391,79772128.1069
600036.SH,20260129,38.53,6.5484,0.913,2.8793,97172065.1007,79483322.8849
600036.SH,20260128,37.8,6.4243,0.8957,2.8247,95331016.3718,77977409.9416
600036.SH,20260127,38.1,6.4753,0.9028,2.8471,96087611.7398,78596278.2745
