ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
688003.SH,20251031,20250930,-0.0788,-0.0784,5.0322,5.0322,6.4433,0.4696,1.8069,9388906.95,-24557910.92,347916447.19,1.4766,0.671,0.4848,1.7995,0.423,1.6822,0.2618,-58158857.57,-35502477.62,,-136946130.84,-132498956.09,1139392671.3,52184169.36,785633589.17,520402204.78,1269848799.59,762948916.34,959127948.4,2656477562.78,441965929.46,-0.0781,9.6126,0.1612,2.2766,-1.2502,-0.1829,-0.7054,-0.6825,-1.5579,35.6128,64.3872,39.606,-1.5579,14.5104,24.8129,0.2827,-1.1435,105.9532,-4.3686,-3.634,-0.7991,-0.8,-1.2937,-0.9513,-0.4078,-1.3217,-1.0655,-1.2684,51.3821,2.0569,1.966,61.4272,38.5728,32.9998,29.5743,70.2494,80.9627,19.0373,0.0196,1.0569,0.9438,2.3754,0.6422,1.6163,2.4401,0.0158,648.9331,-0.5437,-0.4065,597141401.79,-4.3703,13.8647,103.004,-0.0525,-0.1012,-0.0246,0.537,-10.5189,-10.5783,121.7661,-0.3488,-3.4681,-10.9843,-77.8808,121.873,-6.5424,-3.5964,6.422,-3.3268,14.7871,14.7871,22.5776,-191.8261,4.1691
688003.SH,20250812,20250630,-0.0738,-0.0733,3.0831,3.0831,6.3893,0.4709,1.817,8483659.23,-22675933.05,207792558.56,1.4866,0.7882,0.6651,1.1237,0.2503,1.0216,0.1572,-46742026.01,-29069976.17,12395586.5,168818460.88,294470667.12,1157779819.65,53466707.06,906604450.72,230568140.42,1274061005.68,823047467.07,680689567.05,2765651951.21,442942659.61,-0.0733,9.5786,0.1511,2.288,0.742,-0.1502,0.872,1.5211,-2.3887,34.813,65.187,40.882,-2.3887,14.9215,26.2776,-0.3171,-1.4102,107.831,-5.642,-4.8703,-0.75,-0.74,-1.1983,-0.7657,-0.3756,-1.0606,-1.5,-1.5314,53.2538,2.1392,2.0061,63.2278,36.7722,32.0365,32.7809,67.0503,79.8667,20.1333,0.0173,1.1392,0.8756,2.0454,0.6016,1.4053,5.5257,0.0138,675.0592,-0.7512,-0.3738,602299182.64,-5.6473,12.332,98.7487,0.9618,0.8277,0.4784,33.0494,46.1314,46.2216,163.3277,30.9686,30.1763,45.9246,7.5631,163.4714,48.3751,-3.9373,9.9853,-3.9371,10.3224,10.3224,8.7582,122.5477,4.7467
688003.SH,20250422,20250331,-0.1679,-0.1668,1.1293,1.1293,6.3429,0.4709,2.2204,5959009.33,-38256839.08,66548552.76,1.8613,0.9666,0.7075,0.4047,0.0982,0.3739,0.0606,-51475217.04,-41816324.75,,-185148257.15,-146117669.65,814380438.18,54746634.17,819845978.07,473345378.34,1358755757.48,1016708595.49,1036292635.74,2734994356.95,521028103.68,-0.1668,9.8686,-0.4946,2.6913,-0.7251,-0.216,-0.9564,-0.7548,-14.8165,30.4393,69.5607,53.5315,-14.8165,19.4016,34.3681,-0.2382,-1.0549,123.5448,-19.8878,-19.1268,-1.6818,-1.68,-1.9921,-1.1584,-0.8973,-1.5343,-6.7272,-4.6336,46.8623,1.8819,1.8798,60.9628,39.0372,37.7001,29.9761,69.8542,69.8925,30.1075,-0.0811,0.8819,1.1312,2.3303,0.8045,1.6573,2.8705,-0.0567,840.9437,-3.5892,-0.8947,599887514.83,-19.9048,19.4016,123.5448,-1.6818,-1.9921,-0.8973,-43.7984,15.1592,14.9847,21.0156,16.7678,16.0854,14.9991,-8.5691,20.5463,17.2688,-1.029,-0.3242,-1.0294,13.1377,13.1377,13.1377,-129.4506,2.7434
688003.SH,20250412,20241231,0.6499,0.6471,8.3098,8.3098,6.3076,0.4709,2.3872,21772082.69,102918519.82,662326348.4,1.9421,1.1809,0.9756,2.8313,0.7525,2.7795,0.4701,81284887.48,111272724.94,184779066.88,-94427454.26,324859105.74,845853640.14,54078843.19,780796998.91,282086869.09,1413637186.27,1093853734.8,910326247.69,2715911640.13,553325933.43,0.6441,9.9712,-0.0425,2.8582,0.8321,0.5748,-0.4878,1.678,7.7415,41.1705,58.8295,32.5228,7.7415,10.3558,21.8215,0.3456,-1.1348,94.9473,6.5335,6.9168,6.4766,6.55,5.3457,3.2517,3.6394,4.4508,6.4766,3.2517,46.4824,1.8685,1.7774,62.3614,37.6386,39.0956,28.749,71.0767,69.0793,30.9207,-0.0071,0.8685,1.1485,2.4723,0.8411,1.8105,5.0114,-0.0049,488.4508,3.6394,3.6438,595844302.78,6.6098,5.7236,83.1076,7.4349,6.2724,3.8915,17.8004,-42.0612,-41.8442,-103.5529,-52.0076,-52.6753,-42.0509,-34.51,-103.5707,-42.3588,-0.0631,12.0079,0.5342,-2.3836,-2.3836,-1.5118,2260.8056,0.5342
688003.SH,20250412,20241231,0.6499,0.6471,8.3098,8.3098,6.3076,0.4709,2.3872,21772082.69,102918519.82,662326348.4,1.9421,1.1809,0.9756,2.8313,0.7525,2.7795,0.4701,81284887.48,111272724.94,184779066.88,-81379314.21,337907245.79,845853640.14,54078843.19,780796998.91,282086869.09,1413637186.27,1093853734.8,910326247.69,2715911640.13,553325933.43,0.6441,9.9712,-0.0425,2.8582,0.8321,0.5748,-0.4204,1.7454,7.7415,41.1705,58.8295,32.5228,7.7415,10.3558,21.8215,0.3456,-1.1348,94.9473,6.5335,6.9168,6.4766,6.55,5.3457,3.2517,3.6394,4.4508,6.4766,3.2517,46.4824,1.8685,1.7774,62.3614,37.6386,39.0956,28.749,71.0767,69.0793,30.9207,-0.0071,0.8685,1.1485,2.4723,0.8411,1.8105,5.0114,-0.0049,488.4508,3.6394,3.6438,595844302.78,6.6098,5.7236,83.1076,7.4349,6.2724,3.8915,17.8004,-42.0612,-41.8442,-103.5529,-52.0076,-52.6753,-42.0509,-34.51,-103.5707,-42.3588,-0.0631,12.0079,0.5342,-2.3836,-2.3836,-1.5118,2260.8056,0.5342
688003.SH,20241031,20240930,-0.0713,-0.0709,4.4051,4.4051,6.283,0.4428,1.705,138124.44,-13805825.48,335430605.41,1.816,0.8518,0.6596,1.7531,0.4108,1.4715,0.2535,-46700090.82,-38371895.02,,-261739007.51,87387338.98,933596230.18,55660120.37,706498485.58,399376498.23,1278777823.14,953537871.03,881441577.1,2497969861.49,414967629.88,-0.0707,9.2723,-0.7406,2.1478,-0.2366,-0.1986,-1.3547,0.4523,-1.6059,39.4118,60.5882,42.8122,-1.6059,14.4794,27.6332,0.6996,-0.6277,105.4871,-4.9972,-4.5086,-0.7365,-0.74,-0.7439,-1.1428,-0.4071,-1.6048,-0.982,-1.5237,48.6276,1.9466,1.8093,60.8552,39.1448,36.6703,28.2829,71.7171,68.9146,31.0854,-0.1224,0.9466,1.0564,2.5357,0.7541,1.81,3.2019,-0.0844,714.4114,-0.5428,-0.4071,610383774.61,-4.8484,12.9981,99.1172,0.7062,0.6022,0.3655,-31.2818,-133.2401,-133.0536,-213.8334,-277.5969,-242.7836,-133.2924,-184.7059,-214.4513,-132.2168,-7.0679,8.0237,-6.7001,-3.1468,-3.1468,-15.1269,80.9823,3.3385
688003.SH,20240829,20240630,-0.137,-0.1363,2.8003,2.8003,6.258,0.4428,1.6399,-1714095.72,-24531246.85,210372501.48,1.6947,0.8279,0.616,1.1607,0.2636,0.9392,0.1634,-49437279.79,-47337758.8,-8765685.61,-100637122.74,141821180.0,967993130.18,56447249.58,599830002.85,307949628.52,1290138773.86,854210326.1,823897665.84,2370173883.28,402389988.35,-0.1358,9.1629,-0.2386,2.0827,-0.2737,-0.245,-0.5209,0.734,-4.851,38.8834,61.1166,45.9213,-4.851,15.3282,30.2457,0.3474,-0.8938,109.1375,-9.0168,-8.7495,-1.4223,-1.42,-1.3294,-1.4295,-0.7926,-2.0341,-2.8446,-2.859,47.8485,1.9175,1.7946,61.3846,38.6154,38.0055,25.3074,74.6926,75.6993,24.3007,-0.0375,0.9175,1.0899,2.9514,0.7943,2.1508,4.1894,-0.0284,723.44,-1.5852,-0.7926,599280103.05,-8.9227,13.1598,100.1648,0.6475,0.5899,0.347,21.3987,-717.1171,-713.964,-4578.4314,-179.5891,-271.6919,-716.5952,-12.1424,-4489.1111,-689.0742,-8.1644,5.1548,-7.8004,5.3775,5.3775,4.9247,106.6145,4.6719
688003.SH,20240427,20240331,-0.1979,-0.1962,1.0041,1.0041,6.1933,0.4446,2.1815,-2759740.77,-35237302.57,76241351.94,1.823,0.9966,0.7423,0.4011,0.0932,0.3354,0.0585,-48863997.77,-51054868.82,,-193073655.41,58163856.71,848331226.48,57165045.76,614587985.31,223200177.15,1402266993.23,958838590.57,884110907.89,2474082068.25,505377487.58,-0.1974,9.6625,-0.6262,2.6261,0.0637,-0.2653,-1.0033,0.3022,-19.6632,39.4543,60.5457,63.1708,-19.6632,19.2311,42.9098,1.03,-0.9858,125.2867,-27.0336,-26.4205,-2.0106,-2.0,-1.8646,-1.5453,-1.1501,-2.1459,-8.0424,-6.1812,44.9785,1.8175,1.7483,62.843,37.157,41.4924,24.8411,75.1589,76.6399,23.3601,-0.1034,0.8175,1.2233,3.0256,0.9225,2.2816,6.2826,-0.0793,985.8042,-4.6004,-1.1501,598028402.25,-26.8366,19.2311,125.2867,-2.0106,-1.8646,-1.1501,-62.3665,-13.2799,-12.3068,-45.2563,-19.0408,-18.2453,-13.6256,3.2192,-43.5958,-1.5304,-3.1571,4.6891,-3.1575,6.2023,6.2023,6.2023,-126.7813,11.9129
688003.SH,20240420,20231231,1.1217,1.1127,8.5636,8.5636,6.1578,0.4446,2.379,58025018.46,157147426.93,686511646.94,1.9307,1.1067,0.8653,3.2827,0.8348,3.6574,0.5354,151971757.0,228467270.45,282764470.19,54614478.127,32001885.127,885408633.71,58596346.71,364079245.81,-8197705.6,1489019796.7,974205141.65,763284605.61,2284200734.22,543374530.92,1.1181,9.9775,1.1962,2.8235,-0.0922,1.1872,0.2838,0.1663,13.0564,41.6567,58.3433,29.4321,13.0564,10.2271,18.9735,0.2314,-1.8202,90.7785,13.2891,13.8631,11.9406,12.0,8.7206,7.4222,6.9903,10.0574,11.9406,7.4222,40.5205,1.6813,1.7082,62.6035,37.3965,46.1253,15.939,84.061,80.0228,19.9772,0.2199,0.6813,1.4679,5.2739,1.1383,4.0898,,0.176,461.2626,6.9903,6.9903,585314167.45,13.634,6.5963,80.3356,9.5311,7.7099,5.4849,13.6737,40.5639,39.4361,303.228,50.9244,53.8,41.4644,29.14,300.8924,24.0618,15.3642,10.249,14.0274,3.7035,3.7035,-2.1741,371.2012,14.0274
688003.SH,20231031,20230930,0.2145,0.2145,4.5732,4.5732,6.1287,0.3393,1.5824,24754990.98,16298540.23,355336999.29,1.9458,0.9,0.7921,2.1942,0.4478,2.6522,0.2905,697499.68,33150653.43,,1530803.82,26722147.04,912550394.22,57830819.41,416839419.48,8979838.99,1318297338.19,970773895.06,676760644.56,2150435230.77,369255616.74,0.2137,9.022,0.6506,1.9217,0.0801,0.1725,0.008,0.1391,4.6718,40.437,59.563,39.3444,4.6718,13.4057,25.4464,0.4923,-0.6506,99.9206,2.7252,3.7725,2.4025,2.41,0.9538,1.0961,1.3574,1.5722,3.2033,1.4615,44.4506,1.8002,1.77,63.9951,36.0049,42.2421,19.384,80.616,73.9894,26.0106,0.1218,0.8002,1.2497,4.1589,0.9503,3.1626,146.8063,0.0901,662.62,1.8099,1.3574,523102928.72,3.2888,9.0939,88.6615,2.1488,2.2292,1.1921,34.4966,38.2979,38.2979,133.7431,54.652,76.0701,38.2461,-49.38,133.3023,23.6758,4.3163,6.5814,2.9505,9.461,9.461,8.1555,56.5951,11.7811
