ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
600036.SH,20260328,20260328,20251231,1,2,4,5.7,5.7,337532000000.0,337532000000.0,351351000000.0,,84265000000.0,75258000000.0,39225000000.0,7320000000.0,,,,,,,,14776000000.0,-8160000000.0,36837000000.0,5473000000.0,3228000000.0,158280000000.0,,135758000000.0,9007000000.0,3097000000.0,,107952000000.0,,,,,,,,158280000000.0,,,,7456000000.0,179252000000.0,105000000.0,364000000.0,,178993000000.0,27867000000.0,151126000000.0,150181000000.0,945000000.0,-18071000000.0,133055000000.0,132165000000.0,890000000.0,,,,,,,,,,,,,,,,,,,,,,,,0
600036.SH,20251030,20251030,20250930,1,2,3,4.43,4.43,251420000000.0,251420000000.0,264307000000.0,,62797000000.0,56202000000.0,29632000000.0,5568000000.0,,,,,,,,11112000000.0,-8827000000.0,30252000000.0,,2639000000.0,116193000000.0,,104265000000.0,6595000000.0,2246000000.0,,75043000000.0,,,,,,,,116193000000.0,,,,5544000000.0,135227000000.0,62000000.0,200000000.0,,135089000000.0,20552000000.0,114537000000.0,113772000000.0,765000000.0,-17125000000.0,97412000000.0,96695000000.0,717000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20250830,20250830,20250630,1,2,2,2.89,2.89,169969000000.0,169969000000.0,177014000000.0,,41867000000.0,37602000000.0,22561000000.0,4035000000.0,,,,,,,,7756000000.0,-4819000000.0,21894000000.0,1672000000.0,1451000000.0,81017000000.0,,70929000000.0,4265000000.0,1491000000.0,,51171000000.0,,,,,,,,81017000000.0,,,,3721000000.0,88952000000.0,58000000.0,104000000.0,,88906000000.0,13501000000.0,75405000000.0,74930000000.0,475000000.0,-6299000000.0,69106000000.0,68643000000.0,463000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20250830,20250830,20250630,1,2,2,2.89,2.89,169969000000.0,169969000000.0,177014000000.0,,41867000000.0,37602000000.0,22561000000.0,4035000000.0,,,,,,,,7756000000.0,-4819000000.0,21894000000.0,1672000000.0,1451000000.0,81017000000.0,,70929000000.0,4265000000.0,1491000000.0,,51171000000.0,,,,,,,,81017000000.0,,,,3721000000.0,88952000000.0,58000000.0,104000000.0,,88906000000.0,13501000000.0,75405000000.0,74930000000.0,475000000.0,-6299000000.0,69106000000.0,68643000000.0,463000000.0,,,,,,,,,,,,,,,,,,,,,,,,0
600036.SH,20250430,20250430,20250331,1,2,1,1.48,1.48,83751000000.0,83751000000.0,89070000000.0,,21830000000.0,19696000000.0,9200000000.0,1634000000.0,,,,,,,,3493000000.0,-5306000000.0,11752000000.0,,1120000000.0,39489000000.0,,36074000000.0,2134000000.0,805000000.0,,23988000000.0,,,,,,,,39489000000.0,,,,1859000000.0,44262000000.0,29000000.0,49000000.0,,44242000000.0,6729000000.0,37513000000.0,37286000000.0,227000000.0,-17124000000.0,20389000000.0,20193000000.0,196000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20250430,20250430,20250331,1,2,1,1.48,1.48,83751000000.0,83751000000.0,89070000000.0,,21830000000.0,19696000000.0,9200000000.0,1634000000.0,,,,,,,,3493000000.0,-5306000000.0,11752000000.0,,1120000000.0,39489000000.0,,36074000000.0,2134000000.0,805000000.0,,23988000000.0,,,,,,,,39489000000.0,,,,1859000000.0,44262000000.0,29000000.0,49000000.0,,44242000000.0,6729000000.0,37513000000.0,37286000000.0,227000000.0,-17124000000.0,20389000000.0,20193000000.0,196000000.0,,,,,,,,,,,,,,,,,,,,,,,,0
600036.SH,20250326,20250326,20241231,1,2,4,5.66,5.66,337488000000.0,337488000000.0,374271000000.0,,81040000000.0,72094000000.0,47033000000.0,7042000000.0,,,,,,,,14126000000.0,6085000000.0,29880000000.0,2632000000.0,4026000000.0,158469000000.0,,162994000000.0,8946000000.0,2950000000.0,,107616000000.0,,,,,,,,158469000000.0,,,,7084000000.0,179019000000.0,63000000.0,430000000.0,,178652000000.0,29093000000.0,149559000000.0,148391000000.0,1168000000.0,26693000000.0,176252000000.0,174962000000.0,1290000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20241030,20241030,20240930,1,2,3,4.41,4.41,252709000000.0,252709000000.0,281554000000.0,,62173000000.0,55702000000.0,34502000000.0,4763000000.0,,,,,,,,9970000000.0,3099000000.0,24662000000.0,,1978000000.0,118529000000.0,,124256000000.0,6471000000.0,2218000000.0,,74747000000.0,,,,,,,,118529000000.0,,,,5207000000.0,134180000000.0,39000000.0,145000000.0,,134074000000.0,20035000000.0,114039000000.0,113184000000.0,855000000.0,14765000000.0,128804000000.0,127866000000.0,938000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20240830,20240830,20240630,1,2,2,2.89,2.89,172945000000.0,172945000000.0,187997000000.0,,42552000000.0,38328000000.0,26768000000.0,3034000000.0,,,,,,,,6434000000.0,2286000000.0,19499000000.0,1550000000.0,1949000000.0,83281000000.0,,83548000000.0,4224000000.0,1507000000.0,,51438000000.0,,,,,,,,83281000000.0,,,,3400000000.0,89664000000.0,19000000.0,42000000.0,,89641000000.0,14262000000.0,75379000000.0,74743000000.0,636000000.0,10889000000.0,86268000000.0,85552000000.0,716000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20240430,20240430,20240331,1,2,1,1.51,1.51,86417000000.0,86417000000.0,94135000000.0,,22296000000.0,20204000000.0,12532000000.0,1542000000.0,,,,,,,,3223000000.0,423000000.0,9503000000.0,,1064000000.0,41232000000.0,,42135000000.0,2092000000.0,782000000.0,,24502000000.0,,,,,,,,41232000000.0,,,,1681000000.0,45185000000.0,15000000.0,12000000.0,,45188000000.0,6746000000.0,38442000000.0,38077000000.0,365000000.0,4560000000.0,43002000000.0,42595000000.0,407000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20240430,20240430,20240331,1,2,1,1.51,1.51,86417000000.0,86417000000.0,94135000000.0,,22296000000.0,20204000000.0,12532000000.0,1542000000.0,,,,,,,,3223000000.0,423000000.0,9503000000.0,,1064000000.0,41232000000.0,,42135000000.0,2092000000.0,782000000.0,,24502000000.0,,,,,,,,41232000000.0,,,,1681000000.0,45185000000.0,15000000.0,12000000.0,,45188000000.0,6746000000.0,38442000000.0,38077000000.0,365000000.0,4560000000.0,43002000000.0,42595000000.0,407000000.0,,,,,,,,,,,,,,,,,,,,,,,,0
600036.SH,20240326,20240326,20231231,1,2,4,5.63,5.63,339123000000.0,339123000000.0,375610000000.0,,92834000000.0,84108000000.0,34104000000.0,5950000000.0,,,,,,,,12192000000.0,1846000000.0,22176000000.0,2476000000.0,4132000000.0,162460000000.0,,160941000000.0,8726000000.0,2963000000.0,,111786000000.0,,,,,,,,162460000000.0,,,,6242000000.0,176663000000.0,138000000.0,183000000.0,,176618000000.0,28612000000.0,148006000000.0,146602000000.0,1404000000.0,2731000000.0,150737000000.0,149260000000.0,1477000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20231028,20231028,20230930,1,2,3,4.44,4.44,260279000000.0,260279000000.0,281175000000.0,,73406000000.0,67027000000.0,26366000000.0,4334000000.0,,,,,,,,8934000000.0,1336000000.0,17410000000.0,,3286000000.0,125046000000.0,,118889000000.0,6379000000.0,2235000000.0,,78316000000.0,,,,,,,,125046000000.0,,,,4600000000.0,135233000000.0,87000000.0,135000000.0,,135185000000.0,20215000000.0,114970000000.0,113890000000.0,1080000000.0,-1211000000.0,113759000000.0,112539000000.0,1220000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20231028,20231028,20230930,1,2,3,4.44,4.44,260279000000.0,260279000000.0,281175000000.0,,73406000000.0,67027000000.0,26366000000.0,4334000000.0,,,,,,,,8934000000.0,1336000000.0,17410000000.0,,3286000000.0,125046000000.0,,118889000000.0,6379000000.0,2235000000.0,,78316000000.0,,,,,,,,125046000000.0,,,,4600000000.0,135233000000.0,87000000.0,135000000.0,,135185000000.0,20215000000.0,114970000000.0,113890000000.0,1080000000.0,-1211000000.0,113759000000.0,112539000000.0,1220000000.0,,,,,,,,,,,,,,,,,,,,,,,,0
600036.SH,20230826,20230826,20230630,1,2,2,2.93,2.93,178460000000.0,178460000000.0,187334000000.0,,51338000000.0,47091000000.0,19388000000.0,2691000000.0,,,,,,,,5676000000.0,1814000000.0,12403000000.0,1556000000.0,2480000000.0,87581000000.0,,78338000000.0,4247000000.0,1510000000.0,,51877000000.0,,,,,,,,87581000000.0,,,,2985000000.0,90879000000.0,73000000.0,68000000.0,,90884000000.0,14447000000.0,76437000000.0,75752000000.0,685000000.0,1801000000.0,78238000000.0,77430000000.0,808000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20230427,20230427,20230331,1,2,1,1.54,1.54,90636000000.0,90636000000.0,93344000000.0,,27317000000.0,25079000000.0,8621000000.0,1362000000.0,,,,,,,,2889000000.0,-93000000.0,6571000000.0,,781000000.0,43744000000.0,,37935000000.0,2238000000.0,793000000.0,,25003000000.0,,,,,,,,43744000000.0,,,,1527000000.0,46892000000.0,18000000.0,29000000.0,,46881000000.0,7655000000.0,39226000000.0,38839000000.0,387000000.0,-3327000000.0,35899000000.0,35584000000.0,315000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20230325,20230325,20221231,1,2,4,5.26,5.26,344783000000.0,344783000000.0,353380000000.0,,103372000000.0,94275000000.0,26592000000.0,5129000000.0,,,,,,,,10810000000.0,-2675000000.0,20538000000.0,2525000000.0,3600000000.0,179627000000.0,,135145000000.0,9097000000.0,3005000000.0,,113375000000.0,,,,,,,,179627000000.0,,,,5681000000.0,165156000000.0,170000000.0,213000000.0,,165113000000.0,25819000000.0,139294000000.0,138012000000.0,1282000000.0,,,,,171652000000.0,183305000000.0,,,,,,,,,,,,,,,,,,,,,,0
600036.SH,20230325,20230325,20221231,1,2,4,5.26,5.26,344783000000.0,344783000000.0,353380000000.0,,103372000000.0,94275000000.0,26592000000.0,5129000000.0,,,,,,,,10810000000.0,-2675000000.0,20538000000.0,2525000000.0,3600000000.0,179627000000.0,,135145000000.0,9097000000.0,3005000000.0,,113375000000.0,,,,,,,,179627000000.0,,,,5681000000.0,165156000000.0,170000000.0,213000000.0,,165113000000.0,25819000000.0,139294000000.0,138012000000.0,1282000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20221029,20221029,20220930,1,2,3,4.15,4.15,264833000000.0,264833000000.0,261791000000.0,,82380000000.0,75752000000.0,22769000000.0,3816000000.0,,,,,,,,7998000000.0,-97000000.0,15892000000.0,,3158000000.0,135458000000.0,,99661000000.0,6628000000.0,2298000000.0,,78289000000.0,,,,,,,,135458000000.0,,,,4182000000.0,129375000000.0,91000000.0,82000000.0,,129384000000.0,21405000000.0,107979000000.0,106922000000.0,1057000000.0,3604000000.0,111583000000.0,110234000000.0,1349000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20220820,20220820,20220630,1,2,2,2.67,2.67,179091000000.0,179091000000.0,172861000000.0,,57614000000.0,53405000000.0,15297000000.0,2679000000.0,,,,,,,,5376000000.0,-1558000000.0,12458000000.0,1456000000.0,1718000000.0,95453000000.0,,65169000000.0,4209000000.0,1569000000.0,,49710000000.0,,,,,,,,95453000000.0,,,,2697000000.0,83638000000.0,50000000.0,64000000.0,,83624000000.0,13622000000.0,70002000000.0,69420000000.0,582000000.0,1849000000.0,71851000000.0,71136000000.0,715000000.0,86335000000.0,91973000000.0,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20220423,20220423,20220331,1,2,1,1.43,1.43,91990000000.0,91990000000.0,86286000000.0,,30845000000.0,28695000000.0,7569000000.0,1729000000.0,,,,,,,,2991000000.0,-2774000000.0,7793000000.0,,821000000.0,47632000000.0,,31822000000.0,2150000000.0,834000000.0,,24013000000.0,,,,,,,,47632000000.0,,,,1262000000.0,44358000000.0,16000000.0,7000000.0,,44367000000.0,8058000000.0,36309000000.0,36022000000.0,287000000.0,-1308000000.0,35001000000.0,34749000000.0,252000000.0,,,,,,,,,,,,,,,,,,,,,,,,1
600036.SH,20220319,20220319,20211231,1,2,4,4.61,4.61,331253000000.0,331253000000.0,327056000000.0,,102318000000.0,94447000000.0,28507000000.0,3212000000.0,,,,,,,,7592000000.0,92000000.0,21852000000.0,4030000000.0,3351000000.0,183234000000.0,,123137000000.0,7871000000.0,2772000000.0,,109727000000.0,,,,,,,,183234000000.0,,,,4380000000.0,148019000000.0,318000000.0,164000000.0,,148173000000.0,27339000000.0,120834000000.0,119922000000.0,912000000.0,7189000000.0,128023000000.0,127220000000.0,803000000.0,152792000000.0,163220000000.0,,,,,,,,,,,,,,,,,,,,,,0
600036.SH,20220319,20220319,20211231,1,2,4,4.61,4.61,331253000000.0,331253000000.0,327056000000.0,,102318000000.0,94447000000.0,28507000000.0,3212000000.0,,,,,,,,7592000000.0,92000000.0,21852000000.0,4030000000.0,3351000000.0,183234000000.0,,123137000000.0,7871000000.0,2772000000.0,,109727000000.0,,,,,,,,183234000000.0,,,,4380000000.0,148019000000.0,318000000.0,164000000.0,,148173000000.0,27339000000.0,120834000000.0,119922000000.0,912000000.0,7189000000.0,128023000000.0,127220000000.0,803000000.0,152792000000.0,163220000000.0,,,,,,,,,,,,,,,,,,,,,,1
